context,dataset,sequence_id,model,ridge_id,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,n_origins
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,GRU,,2.532093661,0.6341865898,2.472329505,2.709066879,2.732632504,1281
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,GRU,,1.870396014,0.626420008,1.986430191,2.085411237,2.133163496,1195
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,GRU,,2.331668469,0.9344111827,1.898491735,2.058130495,2.226788025,1247
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,GRU,,1.543404542,0.6364365886,1.801601861,1.917505259,1.931000399,1672
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,Transformer,,3.444319712,1.407719691,2.841520503,3.48095043,3.720265845,1349
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,Transformer,,0.7509452736,0.5264750271,0.6843179681,0.7586653131,0.8702125247,1493
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,Transformer,,0.8534471483,0.5297370895,0.8528490644,0.8869647307,1.007521096,1482
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,Transformer,,2.023112935,0.6248882879,1.89444461,2.228594716,2.266630512,1450
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,Transformer,,2.428879008,0.6333220873,2.361322649,2.699546189,2.737060287,1281
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,Transformer,,1.831160519,0.5998564505,1.966670662,2.068324868,2.122331429,1195
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,Transformer,,2.268844525,0.9012720777,1.851144852,2.072177947,2.228559527,1247
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,Transformer,,1.561095257,0.665321777,1.822748123,1.927922555,1.911469709,1672
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,Persistence,,4.075000184,1.448876514,3.095694185,4.049868694,4.372439845,1349
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,Persistence,,0.7614361482,0.5198005074,0.6514258874,0.746522323,0.9443831043,1493
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,Persistence,,0.94906914,0.5416548985,0.936034513,0.9376017382,1.203783095,1482
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,Persistence,,2.573046277,0.6672585941,2.152853605,2.911681796,2.899976369,1450
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,Persistence,,3.160309351,0.6914528433,2.751060243,3.564106297,3.718252413,1281
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,Persistence,,2.461928413,0.6232928448,2.35398342,2.748192434,2.913253624,1195
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,Persistence,,2.619887629,0.898977044,2.147006439,2.543710698,2.741032327,1247
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,Persistence,,2.193506128,0.7288247866,2.218223952,2.607084367,2.443049425,1672
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,TCN,,3.834709361,1.741802832,3.459218251,3.755166018,4.007635266,1349
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,TCN,,0.89199191,0.6927129979,0.6944076974,0.8701276966,1.160024529,1493
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,TCN,,1.040586274,0.7273454935,0.899965742,1.040097873,1.324697965,1482
