context,model,horizon_step,horizon_ms,mean_sequence_rmse,ci_low,ci_high
WITHIN_EUROC,GRU,16,160,0.7937688568,0.6476928099,0.9222308912
WITHIN_EUROC,GRU,17,170,0.8182170441,0.6577530357,0.9472051148
WITHIN_EUROC,GRU,18,180,0.8198235225,0.661992431,0.930274511
WITHIN_EUROC,GRU,19,190,0.8130617895,0.6712429922,0.9194723211
WITHIN_EUROC,GRU,20,200,0.8120256645,0.6691274714,0.9287990956
WITHIN_EUROC,Transformer,1,10,0.5844126715,0.4667951815,0.70553061
WITHIN_EUROC,Transformer,2,20,0.6851443796,0.5450107097,0.8095975087
WITHIN_EUROC,Transformer,3,30,0.6793187658,0.5467010712,0.8005010972
WITHIN_EUROC,Transformer,4,40,0.6468996004,0.5312264233,0.7516464039
WITHIN_EUROC,Transformer,5,50,0.6455960778,0.5251986481,0.7573392292
WITHIN_EUROC,Transformer,6,60,0.6740401841,0.5436698863,0.7985626567
WITHIN_EUROC,Transformer,7,70,0.7143838021,0.5667426504,0.8415524716
WITHIN_EUROC,Transformer,8,80,0.7353363285,0.5909353375,0.8511649541
WITHIN_EUROC,Transformer,9,90,0.7345007359,0.5982944297,0.8429876766
WITHIN_EUROC,Transformer,10,100,0.7305006399,0.597958717,0.8449109383
WITHIN_EUROC,Transformer,11,110,0.7489713128,0.6079982697,0.875396609
WITHIN_EUROC,Transformer,12,120,0.7814799029,0.630009381,0.9090321226
WITHIN_EUROC,Transformer,13,130,0.7870684342,0.6359658505,0.8939975915
WITHIN_EUROC,Transformer,14,140,0.7837972282,0.6500592028,0.8870838255
WITHIN_EUROC,Transformer,15,150,0.7850941234,0.6470978274,0.9035170141
WITHIN_EUROC,Transformer,16,160,0.8013010741,0.6546883196,0.9301219348
WITHIN_EUROC,Transformer,17,170,0.8222931017,0.6606469982,0.9505986984
WITHIN_EUROC,Transformer,18,180,0.8243726759,0.6677105224,0.9348008899
WITHIN_EUROC,Transformer,19,190,0.8192481409,0.6804362736,0.9260070107
WITHIN_EUROC,Transformer,20,200,0.8182486187,0.6761812481,0.9374025182
WITHIN_UZH,Persistence,1,10,0.752581503,0.572860723,0.9591734053
WITHIN_UZH,Persistence,2,20,1.265163695,0.9617090346,1.583455432
WITHIN_UZH,Persistence,3,30,1.529500584,1.118444,1.938401719
WITHIN_UZH,Persistence,4,40,1.770062019,1.273779417,2.239623203
WITHIN_UZH,Persistence,5,50,2.038285281,1.460662592,2.546934873
WITHIN_UZH,Persistence,6,60,2.235356801,1.572738932,2.826158686
WITHIN_UZH,Persistence,7,70,2.332955847,1.582177668,3.027066645
WITHIN_UZH,Persistence,8,80,2.370508687,1.592531915,3.14692618
WITHIN_UZH,Persistence,9,90,2.433965873,1.66344904,3.201762709
WITHIN_UZH,Persistence,10,100,2.513596043,1.731506565,3.229322944
WITHIN_UZH,Persistence,11,110,2.56613227,1.75870191,3.302124887
WITHIN_UZH,Persistence,12,120,2.57301019,1.735792651,3.414481364
WITHIN_UZH,Persistence,13,130,2.565567194,1.717323509,3.45088576
WITHIN_UZH,Persistence,14,140,2.615798424,1.780730228,3.486861922
WITHIN_UZH,Persistence,15,150,2.683051602,1.853509316,3.493745242
WITHIN_UZH,Persistence,16,160,2.714776004,1.875582337,3.506921828
WITHIN_UZH,Persistence,17,170,2.700634049,1.848249415,3.55334366
WITHIN_UZH,Persistence,18,180,2.65473854,1.819235839,3.545003735
WITHIN_UZH,Persistence,19,190,2.643728484,1.841027108,3.488060689
WITHIN_UZH,Persistence,20,200,2.654521275,1.887011845,3.387620648
WITHIN_UZH,Source-selected B3 Ridge,1,10,0.7869797082,0.5063730144,1.098447119
WITHIN_UZH,Source-selected B3 Ridge,2,20,1.231929869,0.9166097888,1.551964183
WITHIN_UZH,Source-selected B3 Ridge,3,30,1.505810592,1.078470067,1.939946028
WITHIN_UZH,Source-selected B3 Ridge,4,40,1.666697856,1.197197667,2.153231283
WITHIN_UZH,Source-selected B3 Ridge,5,50,1.833155396,1.337344778,2.296658496
WITHIN_UZH,Source-selected B3 Ridge,6,60,1.971337726,1.397232521,2.495358574
WITHIN_UZH,Source-selected B3 Ridge,7,70,1.996325981,1.341921668,2.66387115
WITHIN_UZH,Source-selected B3 Ridge,8,80,1.973543788,1.321758383,2.691185168
WITHIN_UZH,Source-selected B3 Ridge,9,90,2.021927493,1.408172111,2.692320722
WITHIN_UZH,Source-selected B3 Ridge,10,100,2.094722431,1.503259958,2.68045564
WITHIN_UZH,Source-selected B3 Ridge,11,110,2.111470537,1.502585911,2.69728088
WITHIN_UZH,Source-selected B3 Ridge,12,120,2.070050713,1.399321454,2.760919879
WITHIN_UZH,Source-selected B3 Ridge,13,130,2.034025758,1.375298605,2.770753064
WITHIN_UZH,Source-selected B3 Ridge,14,140,2.056087786,1.44471722,2.753066794
WITHIN_UZH,Source-selected B3 Ridge,15,150,2.111875629,1.536706088,2.702312515
WITHIN_UZH,Source-selected B3 Ridge,16,160,2.129252449,1.542452115,2.693514224
WITHIN_UZH,Source-selected B3 Ridge,17,170,2.10433959,1.448970949,2.787478085
WITHIN_UZH,Source-selected B3 Ridge,18,180,2.082400946,1.4196332,2.837412535
WITHIN_UZH,Source-selected B3 Ridge,19,190,2.094869103,1.484640021,2.802369119
WITHIN_UZH,Source-selected B3 Ridge,20,200,2.148913811,1.568209939,2.755614298
WITHIN_UZH,TCN,1,10,0.9215356792,0.7059954133,1.141266228
WITHIN_UZH,TCN,2,20,1.304550607,0.9644435317,1.676172551
WITHIN_UZH,TCN,3,30,1.497160398,1.076134716,1.97098948
WITHIN_UZH,TCN,4,40,1.655046275,1.195214472,2.156180059
WITHIN_UZH,TCN,5,50,1.823386941,1.335352292,2.286733123
WITHIN_UZH,TCN,6,60,1.932770294,1.378615255,2.429007358
WITHIN_UZH,TCN,7,70,1.961486013,1.334319129,2.586780003
WITHIN_UZH,TCN,8,80,1.937485496,1.319737616,2.615581709
WITHIN_UZH,TCN,9,90,1.949373827,1.342045478,2.621075994
WITHIN_UZH,TCN,10,100,2.026899076,1.442827729,2.610398155
WITHIN_UZH,TCN,11,110,2.085039667,1.466289427,2.673811345
WITHIN_UZH,TCN,12,120,2.035838256,1.364912327,2.719431154
WITHIN_UZH,TCN,13,130,2.018633869,1.355341535,2.766072647
WITHIN_UZH,TCN,14,140,2.035507863,1.440868474,2.70516686
WITHIN_UZH,TCN,15,150,2.108618145,1.533251918,2.697299927
WITHIN_UZH,TCN,16,160,2.136639112,1.529005955,2.729656296
WITHIN_UZH,TCN,17,170,2.103327758,1.431770192,2.798560885
WITHIN_UZH,TCN,18,180,2.030813123,1.387557106,2.754065927
WITHIN_UZH,TCN,19,190,2.052677605,1.442969806,2.756580711
