context,model,metric,reported_value,recomputed_value,absolute_difference,relative_difference,tolerance,status
WITHIN_UZH,Transformer,rmse_200ms,2.108006366,2.108006366,2.124997955377239e-10,1.0080605019279334e-10,1e-06,PASS
WITHIN_UZH,Transformer,skill_vs_persistence,0.1932714415,0.1932714415,7.807560153949566e-12,4.0396864085838396e-11,1e-06,PASS
EUROC_TO_UZH,Persistence,mean_seq_rmse,2.349272909,2.349272909,2.2500001861658347e-10,9.577432138880697e-11,1e-06,PASS
EUROC_TO_UZH,Persistence,ci_low,1.637558288,1.637558288,3.625011402164091e-11,2.2136686240289063e-11,1e-06,PASS
EUROC_TO_UZH,Persistence,ci_high,3.053113425,3.053113425,2.4062529746515793e-10,7.88130881397431e-11,1e-06,PASS
EUROC_TO_UZH,Persistence,median_seq_rmse,2.517487345,2.517487345,0,0,1e-06,PASS
EUROC_TO_UZH,Persistence,mean_mae,0.7650172541,0.7650172541,1.2500001034254637e-11,1.6339502105688048e-11,1e-06,PASS
EUROC_TO_UZH,Persistence,rmse_50ms,2.038285281,2.038285281,4.499995931439571e-10,2.2077360678539735e-10,1e-06,PASS
EUROC_TO_UZH,Persistence,rmse_100ms,2.513596043,2.513596043,3.9999958900693855e-10,1.5913439636447522e-10,1e-06,PASS
EUROC_TO_UZH,Persistence,rmse_200ms,2.654521275,2.654521275,2.875002458324616e-10,1.0830587365793916e-10,1e-06,PASS
EUROC_TO_UZH,Persistence,skill_vs_persistence,0,0,0,0,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,mean_seq_rmse,2.065149757,2.065149757,6.249978312666826e-11,3.0264044006891005e-11,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,ci_low,1.483872022,1.483872022,4.375000361989123e-10,2.948367714415417e-10,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,ci_high,2.698028464,2.698028464,2.5000002068509275e-10,9.266026063878204e-11,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,median_seq_rmse,2.070729149,2.070729149,0,0,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,mean_mae,0.8725399421,0.8725399421,5.000000413701855e-11,5.730397168601842e-11,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,rmse_50ms,1.844444743,1.844444743,1.1250023135289666e-10,6.099409146294856e-11,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,rmse_100ms,2.205469264,2.205469264,3.750022514736884e-11,1.700328622098124e-11,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,rmse_200ms,2.369796135,2.369796135,1.2500001034254637e-10,5.274715765478551e-11,1e-06,PASS
EUROC_TO_UZH,Best frozen Ridge,skill_vs_persistence,0.120940888,0.120940888,1.238295577188353e-11,1.0238849719611395e-10,1e-06,PASS
EUROC_TO_UZH,TCN,mean_seq_rmse,2.049908945,2.049908945,2.5000002068509275e-10,1.2195664655977817e-10,1e-06,PASS
EUROC_TO_UZH,TCN,ci_low,1.470597349,1.470597349,4.937499298307557e-10,3.357478715479146e-10,1e-06,PASS
EUROC_TO_UZH,TCN,ci_high,2.690126001,2.690126001,7.812417379682302e-11,2.904108349117548e-11,1e-06,PASS
EUROC_TO_UZH,TCN,median_seq_rmse,2.026141463,2.026141463,0,0,1e-06,PASS
EUROC_TO_UZH,TCN,mean_mae,0.9030326798,0.9030326799,5.000000413701855e-11,5.536898636724016e-11,1e-06,PASS
EUROC_TO_UZH,TCN,rmse_50ms,1.945113063,1.945113063,5.0000226181623475e-11,2.5705562896434815e-11,1e-06,PASS
EUROC_TO_UZH,TCN,rmse_100ms,2.128054488,2.128054488,3.000000248221113e-10,1.4097384560113355e-10,1e-06,PASS
EUROC_TO_UZH,TCN,rmse_200ms,2.291192998,2.291192998,3.750000310276391e-10,1.636702064623013e-10,1e-06,PASS
EUROC_TO_UZH,TCN,skill_vs_persistence,0.1274283473,0.1274283473,4.1230491243382517e-11,3.2355823580066566e-10,1e-06,PASS
EUROC_TO_UZH,GRU,mean_seq_rmse,2.080038328,2.080038328,2.6249979967474246e-10,1.2619950129820032e-10,1e-06,PASS
EUROC_TO_UZH,GRU,ci_low,1.470451745,1.470451745,4.2499981312005275e-10,2.8902669847221185e-10,1e-06,PASS
EUROC_TO_UZH,GRU,ci_high,2.757981534,2.757981534,4.28437729738107e-10,1.5534466944625562e-10,1e-06,PASS
EUROC_TO_UZH,GRU,median_seq_rmse,2.024865698,2.024865698,0,0,1e-06,PASS
EUROC_TO_UZH,GRU,mean_mae,0.8789272756,0.8789272757,6.250000517127319e-11,7.110941588268215e-11,1e-06,PASS
EUROC_TO_UZH,GRU,rmse_50ms,1.960339551,1.960339551,1.374997893321961e-10,7.014080252681496e-11,1e-06,PASS
EUROC_TO_UZH,GRU,rmse_100ms,2.09315409,2.09315409,4.124998120857981e-10,1.9707092471428996e-10,1e-06,PASS
EUROC_TO_UZH,GRU,rmse_200ms,2.268338506,2.268338506,0,0,1e-06,PASS
EUROC_TO_UZH,GRU,skill_vs_persistence,0.114603365,0.1146033649,5.8082968990014194e-11,5.06817308462227e-10,1e-06,PASS
EUROC_TO_UZH,Transformer,mean_seq_rmse,2.197584952,2.197584952,1.2500001034254637e-10,5.6880627176112176e-11,1e-06,PASS
EUROC_TO_UZH,Transformer,ci_low,1.5899241,1.5899241,2.220446049250313e-16,1.3965736158413556e-16,1e-06,PASS
EUROC_TO_UZH,Transformer,ci_high,2.905565107,2.905565107,2.593760761726571e-10,8.926871937846998e-11,1e-06,PASS
EUROC_TO_UZH,Transformer,median_seq_rmse,2.050117609,2.050117609,0,0,1e-06,PASS
EUROC_TO_UZH,Transformer,mean_mae,1.045966585,1.045966585,1.37500011376801e-10,1.3145736522434033e-10,1e-06,PASS
EUROC_TO_UZH,Transformer,rmse_50ms,2.054323694,2.054323694,9.999956418482725e-11,4.8677608342294306e-11,1e-06,PASS
EUROC_TO_UZH,Transformer,rmse_100ms,2.172996027,2.172996027,2.000000165480742e-10,9.203883212993753e-11,1e-06,PASS
EUROC_TO_UZH,Transformer,rmse_200ms,2.390249124,2.390249124,4.999995972809756e-10,2.0918304801812603e-10,1e-06,PASS
EUROC_TO_UZH,Transformer,skill_vs_persistence,0.06456804404,0.06456804405,6.060096868765186e-12,9.385597719223068e-11,1e-06,PASS
UZH_TO_EUROC,Persistence,mean_seq_rmse,0.9169911034,0.9169911034,5.000000413701855e-11,5.452616056102355e-11,1e-06,PASS
UZH_TO_EUROC,Persistence,ci_low,0.7430420201,0.7430420201,3.333344711364816e-11,4.486078339036881e-11,1e-06,PASS
UZH_TO_EUROC,Persistence,ci_high,1.069425462,1.069425462,4.166669231864262e-10,3.8961754511360805e-10,1e-06,PASS
UZH_TO_EUROC,Persistence,median_seq_rmse,0.9398922647,0.9398922647,5.000000413701855e-11,5.319759084619962e-11,1e-06,PASS
UZH_TO_EUROC,Persistence,mean_mae,0.6233054672,0.6233054672,1.1102230246251565e-16,1.781186084589435e-16,1e-06,PASS
UZH_TO_EUROC,Persistence,rmse_50ms,0.7514938847,0.7514938847,3.33333360913457e-11,4.435609759439696e-11,1e-06,PASS
UZH_TO_EUROC,Persistence,rmse_100ms,0.911398473,0.911398473,4.999989311471609e-11,5.486062857899487e-11,1e-06,PASS
UZH_TO_EUROC,Persistence,rmse_200ms,1.078228258,1.078228258,2.1666668459374705e-10,2.0094695440058393e-10,1e-06,PASS
UZH_TO_EUROC,Persistence,skill_vs_persistence,0,0,0,0,1e-06,PASS
