evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_UZH,B0_PERSISTENCE,9,90,2.4339658733777183
WITHIN_UZH,B0_PERSISTENCE,10,100,2.5135960435404474
WITHIN_UZH,B0_PERSISTENCE,11,110,2.566132269980684
WITHIN_UZH,B0_PERSISTENCE,12,120,2.5730101897708497
WITHIN_UZH,B0_PERSISTENCE,13,130,2.565567193903161
WITHIN_UZH,B0_PERSISTENCE,14,140,2.615798424105071
WITHIN_UZH,B0_PERSISTENCE,15,150,2.6830516015025694
WITHIN_UZH,B0_PERSISTENCE,16,160,2.7147760037251567
WITHIN_UZH,B0_PERSISTENCE,17,170,2.7006340487425886
WITHIN_UZH,B0_PERSISTENCE,18,180,2.654738539740329
WITHIN_UZH,B0_PERSISTENCE,19,190,2.643728483627876
WITHIN_UZH,B0_PERSISTENCE,20,200,2.6545212753548477
WITHIN_UZH,B1_LINEAR,1,10,1.4400574071596495
WITHIN_UZH,B1_LINEAR,2,20,1.9270990990132124
WITHIN_UZH,B1_LINEAR,3,30,2.3272102366382854
WITHIN_UZH,B1_LINEAR,4,40,2.7407985473843737
WITHIN_UZH,B1_LINEAR,5,50,3.1512313728376595
WITHIN_UZH,B1_LINEAR,6,60,3.506951529541971
WITHIN_UZH,B1_LINEAR,7,70,3.8382937258481893
WITHIN_UZH,B1_LINEAR,8,80,4.1489835886065904
WITHIN_UZH,B1_LINEAR,9,90,4.452707533060586
WITHIN_UZH,B1_LINEAR,10,100,4.766850330111063
WITHIN_UZH,B1_LINEAR,11,110,5.078947886883674
WITHIN_UZH,B1_LINEAR,12,120,5.370172152689699
WITHIN_UZH,B1_LINEAR,13,130,5.6751582142520185
WITHIN_UZH,B1_LINEAR,14,140,6.017342647749155
WITHIN_UZH,B1_LINEAR,15,150,6.349293263131992
WITHIN_UZH,B1_LINEAR,16,160,6.661371955904324
WITHIN_UZH,B1_LINEAR,17,170,6.938254331552629
WITHIN_UZH,B1_LINEAR,18,180,7.1484693431921515
WITHIN_UZH,B1_LINEAR,19,190,7.34408459477418
WITHIN_UZH,B1_LINEAR,20,200,7.55393647575951
WITHIN_UZH,B2_RIDGE_QF,1,10,0.80127048786117
WITHIN_UZH,B2_RIDGE_QF,2,20,1.2084053781356485
WITHIN_UZH,B2_RIDGE_QF,3,30,1.480050989750496
WITHIN_UZH,B2_RIDGE_QF,4,40,1.674461782444952
WITHIN_UZH,B2_RIDGE_QF,5,50,1.8737280585651508
WITHIN_UZH,B2_RIDGE_QF,6,60,2.0290475566763693
WITHIN_UZH,B2_RIDGE_QF,7,70,2.0525271140956987
WITHIN_UZH,B2_RIDGE_QF,8,80,2.013816949733296
WITHIN_UZH,B2_RIDGE_QF,9,90,2.057266347843704
WITHIN_UZH,B2_RIDGE_QF,10,100,2.129498307022517
WITHIN_UZH,B2_RIDGE_QF,11,110,2.1569365818129858
WITHIN_UZH,B2_RIDGE_QF,12,120,2.1290608521930183
WITHIN_UZH,B2_RIDGE_QF,13,130,2.09068378172224
WITHIN_UZH,B2_RIDGE_QF,14,140,2.1152078204247933
WITHIN_UZH,B2_RIDGE_QF,15,150,2.1666074254128374
WITHIN_UZH,B2_RIDGE_QF,16,160,2.182061182375931
WITHIN_UZH,B2_RIDGE_QF,17,170,2.1427979107914132
WITHIN_UZH,B2_RIDGE_QF,18,180,2.098479328909118
WITHIN_UZH,B2_RIDGE_QF,19,190,2.1267445528483235
WITHIN_UZH,B2_RIDGE_QF,20,200,2.1956251347335516
WITHIN_UZH,B3_RIDGE_QF_QW,1,10,0.7869797082929644
WITHIN_UZH,B3_RIDGE_QF_QW,2,20,1.231929868697154
WITHIN_UZH,B3_RIDGE_QF_QW,3,30,1.5058105920554659
WITHIN_UZH,B3_RIDGE_QF_QW,4,40,1.666697856257504
WITHIN_UZH,B3_RIDGE_QF_QW,5,50,1.8331553956841637
WITHIN_UZH,B3_RIDGE_QF_QW,6,60,1.9713377263885001
WITHIN_UZH,B3_RIDGE_QF_QW,7,70,1.996325981560583
WITHIN_UZH,B3_RIDGE_QF_QW,8,80,1.9735437880997608
WITHIN_UZH,B3_RIDGE_QF_QW,9,90,2.021927492769192
WITHIN_UZH,B3_RIDGE_QF_QW,10,100,2.0947224311421104
WITHIN_UZH,B3_RIDGE_QF_QW,11,110,2.1114705375147054
WITHIN_UZH,B3_RIDGE_QF_QW,12,120,2.070050713321653
WITHIN_UZH,B3_RIDGE_QF_QW,13,130,2.034025758605388
WITHIN_UZH,B3_RIDGE_QF_QW,14,140,2.0560877858991686
WITHIN_UZH,B3_RIDGE_QF_QW,15,150,2.111875628563348
WITHIN_UZH,B3_RIDGE_QF_QW,16,160,2.1292524488726245
WITHIN_UZH,B3_RIDGE_QF_QW,17,170,2.10433958994172
WITHIN_UZH,B3_RIDGE_QF_QW,18,180,2.082400946235168
WITHIN_UZH,B3_RIDGE_QF_QW,19,190,2.0948691030144717
WITHIN_UZH,B3_RIDGE_QF_QW,20,200,2.148913811452099
EUROC_TO_UZH,B0_PERSISTENCE,1,10,0.7525815030387674
EUROC_TO_UZH,B0_PERSISTENCE,2,20,1.265163694581179
EUROC_TO_UZH,B0_PERSISTENCE,3,30,1.5295005836141762
EUROC_TO_UZH,B0_PERSISTENCE,4,40,1.7700620193198033
EUROC_TO_UZH,B0_PERSISTENCE,5,50,2.0382852804316127
EUROC_TO_UZH,B0_PERSISTENCE,6,60,2.235356801241668
EUROC_TO_UZH,B0_PERSISTENCE,7,70,2.332955846880375
EUROC_TO_UZH,B0_PERSISTENCE,8,80,2.370508687028472
EUROC_TO_UZH,B0_PERSISTENCE,9,90,2.4339658733777183
EUROC_TO_UZH,B0_PERSISTENCE,10,100,2.5135960435404474
EUROC_TO_UZH,B0_PERSISTENCE,11,110,2.566132269980684
EUROC_TO_UZH,B0_PERSISTENCE,12,120,2.5730101897708497
EUROC_TO_UZH,B0_PERSISTENCE,13,130,2.565567193903161
EUROC_TO_UZH,B0_PERSISTENCE,14,140,2.615798424105071
EUROC_TO_UZH,B0_PERSISTENCE,15,150,2.6830516015025694
EUROC_TO_UZH,B0_PERSISTENCE,16,160,2.7147760037251567
EUROC_TO_UZH,B0_PERSISTENCE,17,170,2.7006340487425886
EUROC_TO_UZH,B0_PERSISTENCE,18,180,2.654738539740329
EUROC_TO_UZH,B0_PERSISTENCE,19,190,2.643728483627876
EUROC_TO_UZH,B0_PERSISTENCE,20,200,2.6545212753548477
EUROC_TO_UZH,B1_LINEAR,1,10,1.4400574071596495
EUROC_TO_UZH,B1_LINEAR,2,20,1.9270990990132124
EUROC_TO_UZH,B1_LINEAR,3,30,2.3272102366382854
EUROC_TO_UZH,B1_LINEAR,4,40,2.7407985473843737
EUROC_TO_UZH,B1_LINEAR,5,50,3.1512313728376595
EUROC_TO_UZH,B1_LINEAR,6,60,3.506951529541971
EUROC_TO_UZH,B1_LINEAR,7,70,3.8382937258481893
EUROC_TO_UZH,B1_LINEAR,8,80,4.1489835886065904
EUROC_TO_UZH,B1_LINEAR,9,90,4.452707533060586
EUROC_TO_UZH,B1_LINEAR,10,100,4.766850330111063
EUROC_TO_UZH,B1_LINEAR,11,110,5.078947886883674
