context,model,mean_seq_rmse,ci_low,ci_high
WITHIN_EUROC,B0_PERSISTENCE,0.91699110335,0.7430420200666665,1.0694254615833332
WITHIN_EUROC,BEST_RIDGE,0.7282562380833334,0.5826420992333333,0.8505713845333335
WITHIN_EUROC,TCN,0.7351135509350026,0.59374396202104,0.854083778014934
WITHIN_EUROC,GRU,0.7315832077256634,0.5913246167053788,0.8471903633075341
WITHIN_EUROC,TRANSFORMER,0.7439466119737702,0.6031801978993022,0.855314482804721
WITHIN_UZH,B0_PERSISTENCE,2.349272908775,1.63755828803625,3.053113425240625
WITHIN_UZH,BEST_RIDGE,1.9431406529625002,1.37770310391125,2.5265648325124994
WITHIN_UZH,TCN,1.9201207987935045,1.3622079264491265,2.5058974289328573
WITHIN_UZH,GRU,1.9458167052304336,1.3509568042328883,2.5724275394957257
WITHIN_UZH,TRANSFORMER,1.8952255471945678,1.344822284034104,2.479216381295286
EUROC_TO_UZH,B0_PERSISTENCE,2.349272908775,1.63755828803625,3.053113425240625
EUROC_TO_UZH,BEST_RIDGE,2.0651497570624997,1.4838720224375,2.69802846425
EUROC_TO_UZH,TCN,2.0499089445925684,1.4705973492879483,2.690126000974192
EUROC_TO_UZH,GRU,2.0800383281071912,1.4704517453112111,2.7579815335769906
EUROC_TO_UZH,TRANSFORMER,2.197584952130389,1.5899240999328987,2.9055651068136474
UZH_TO_EUROC,B0_PERSISTENCE,0.91699110335,0.7430420200666665,1.0694254615833332
UZH_TO_EUROC,BEST_RIDGE,0.8153206077333334,0.6622252218833334,0.9324070259833332
UZH_TO_EUROC,TCN,0.8253822249146113,0.6937538618578062,0.9316266750072142
UZH_TO_EUROC,GRU,0.8047074577497152,0.6653984415235662,0.9172245226036133
UZH_TO_EUROC,TRANSFORMER,0.8168786726541407,0.6759639620131007,0.9350099420041206
