evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
WITHIN_EUROC,EUROC,V1_01_easy,B0_PERSISTENCE,2868,0.5639882678,0.4047078867,0.4680215359,0.5449944889,0.6620481976,,0.3374251226,0.5247497236,0.5466912298,0.5011542894,0.4680215359,0.4727831861,0.5099722901,0.5580921904,0.5728227981,0.5449944889,0.5448083516,0.5747751012,0.5973749675,0.6131433893,0.6135437811,0.6116144116,0.6183975612,0.6402746059,0.6648243543,0.6620481976,EUROC_LORO_01_V1_01_easy,
WITHIN_EUROC,EUROC,V1_01_easy,B1_LINEAR,2868,0.9052008767,0.5997862472,0.5403553497,0.8030227571,1.347814182,-0.6049994802,0.4045292,0.5046635483,0.5173006508,0.5146042765,0.5403553497,0.5971272645,0.6693534708,0.7400175973,0.7819117182,0.8030227571,0.8590982728,0.9305025133,0.9836886586,1.03210552,1.078034151,1.12629349,1.182289152,1.245935033,1.304745169,1.347814182,EUROC_LORO_01_V1_01_easy,
WITHIN_EUROC,EUROC,V1_01_easy,B2_RIDGE_QF,2868,0.4294303504,0.3063644755,0.3884119762,0.4452795471,0.4915547384,0.2385828307,0.108929725,0.3067674574,0.3983148855,0.4082379048,0.3884119762,0.3894631847,0.4109479465,0.4289516105,0.4526577445,0.4452795471,0.4349011842,0.4402581339,0.460427701,0.4802708133,0.4731074557,0.46370438,0.4653678423,0.4779390144,0.4972285057,0.4915547384,EUROC_LORO_01_V1_01_easy,
WITHIN_EUROC,EUROC,V1_01_easy,B3_RIDGE_QF_QW,2868,0.4282225119,0.3043789743,0.3887500534,0.4458422959,0.4872406281,0.2407244329,0.1090624537,0.3069137582,0.3983243816,0.4087608942,0.3887500534,0.3893406689,0.4103137338,0.4287576118,0.4526443475,0.4458422959,0.4355717517,0.4392559437,0.4585387835,0.4786712377,0.4719169676,0.4621232828,0.4620527715,0.4740798115,0.4930745897,0.4872406281,EUROC_LORO_01_V1_01_easy,
WITHIN_EUROC,EUROC,V1_02_medium,B0_PERSISTENCE,1666,0.7925081888,0.5679561859,0.5695716618,0.736700159,0.9996927157,,0.3868960063,0.6090261695,0.6516904467,0.5944483066,0.5695716618,0.6143314813,0.6794782219,0.7410698417,0.7513202677,0.736700159,0.769149088,0.8337008161,0.8837396751,0.8917429697,0.8893182113,0.9166433033,0.9644098535,1.0042828,1.005379589,0.9996927157,EUROC_LORO_02_V1_02_medium,
WITHIN_EUROC,EUROC,V1_02_medium,B1_LINEAR,1666,1.242491429,0.8331709311,0.6876946778,1.098782665,1.898334284,-0.5677963293,0.5224914145,0.6228131287,0.6327304079,0.6300481127,0.6876946778,0.7894540874,0.8866059785,0.9736683556,1.038530654,1.098782665,1.176717194,1.265409236,1.354078659,1.419658168,1.47747766,1.561205906,1.665093735,1.762843901,1.833671402,1.898334284,EUROC_LORO_02_V1_02_medium,
WITHIN_EUROC,EUROC,V1_02_medium,B2_RIDGE_QF,1666,0.645024435,0.4538999032,0.5076328275,0.6449724706,0.7615362899,0.1860974509,0.124211067,0.3756436049,0.5212863249,0.5133779303,0.5076328275,0.5575752975,0.608924793,0.6363066646,0.6450593141,0.6449724706,0.6697221749,0.706923139,0.734153212,0.7217118846,0.7103897947,0.7411693336,0.7752398158,0.7859072682,0.7695858939,0.7615362899,EUROC_LORO_02_V1_02_medium,
WITHIN_EUROC,EUROC,V1_02_medium,B3_RIDGE_QF_QW,1666,0.637054547,0.4511406698,0.5040662425,0.6343114144,0.7515058593,0.196153988,0.124189171,0.3753821755,0.5198145473,0.5105822321,0.5040662425,0.5520865536,0.6029138844,0.6307148105,0.6375620571,0.6343114144,0.6581146668,0.695513073,0.7243270837,0.7127407229,0.699335713,0.7285552455,0.7638443108,0.7768943905,0.7611564368,0.7515058593,EUROC_LORO_02_V1_02_medium,
WITHIN_EUROC,EUROC,V1_03_difficult,B0_PERSISTENCE,2106,0.8383637495,0.6147949478,0.6452296575,0.8193058374,1.046251188,,0.4501846217,0.7229579641,0.7677518377,0.6970638253,0.6452296575,0.6538526808,0.7139654299,0.7883454441,0.8288375925,0.8193058374,0.8155948887,0.8485229849,0.8850172651,0.9224336117,0.9544785843,0.9679084134,0.9718594237,0.9872067896,1.020860142,1.046251188,EUROC_LORO_03_V1_03_difficult,
WITHIN_EUROC,EUROC,V1_03_difficult,B1_LINEAR,2106,1.273287346,0.873847452,0.7293334018,1.125534799,1.942346278,-0.518776721,0.5492349597,0.6928305724,0.7160477135,0.7011345654,0.7293334018,0.8096277443,0.916931681,1.013672775,1.080185618,1.125534799,1.190786457,1.280194971,1.367054752,1.456006643,1.541341261,1.611812058,1.679469987,1.760580048,1.854068187,1.942346278,EUROC_LORO_03_V1_03_difficult,
WITHIN_EUROC,EUROC,V1_03_difficult,B2_RIDGE_QF,2106,0.6795868982,0.4883950206,0.5682751907,0.7068605509,0.8213021889,0.1893889751,0.1400940888,0.4158626509,0.5651612937,0.575207162,0.5682751907,0.5856278806,0.6237299015,0.6500710695,0.6878513421,0.7068605509,0.7071350731,0.7203719019,0.7435657737,0.7610047595,0.7694205903,0.77973391,0.7917052627,0.7965662589,0.8104132635,0.8213021889,EUROC_LORO_03_V1_03_difficult,
WITHIN_EUROC,EUROC,V1_03_difficult,B3_RIDGE_QF_QW,2106,0.6725911889,0.4846249287,0.5724091869,0.7015790705,0.8147995626,0.1977334548,0.140162289,0.4155745811,0.5651833731,0.577253899,0.5724091869,0.5876979727,0.6175202158,0.6395208292,0.6796086214,0.7015790705,0.6997068546,0.7077644734,0.7288793732,0.7491296358,0.7609204149,0.7703453566,0.7799541255,0.7847062666,0.8010821778,0.8147995626,EUROC_LORO_03_V1_03_difficult,
WITHIN_EUROC,EUROC,V2_01_easy,B0_PERSISTENCE,2236,1.130114331,0.6649999003,0.9955112485,1.16941163,1.196955533,,0.653668419,1.019711069,1.047378134,0.9831565362,0.9955112485,1.039085052,1.123902552,1.217587218,1.233788842,1.16941163,1.160107026,1.221390974,1.229679635,1.193683873,1.159712312,1.164828727,1.206379328,1.219975011,1.20561773,1.196955533,EUROC_LORO_04_V2_01_easy,
WITHIN_EUROC,EUROC,V2_01_easy,B1_LINEAR,2236,2.444157541,0.9854849037,1.585786298,2.285857847,3.622236929,-1.162752452,0.899374514,1.18403226,1.310174314,1.432818018,1.585786298,1.734725266,1.910516447,2.082353979,2.200070833,2.285857847,2.40265815,2.537991335,2.653870861,2.765555434,2.871910158,2.989354148,3.140941301,3.301172289,3.456677713,3.622236929,EUROC_LORO_04_V2_01_easy,
WITHIN_EUROC,EUROC,V2_01_easy,B2_RIDGE_QF,2236,0.9071105827,0.4931686816,0.8581581801,0.9427995648,0.8989271764,0.1973284846,0.2298651863,0.6696047231,0.9125714992,0.9189431042,0.8581581801,0.8936249479,0.9678647009,0.9857892895,0.9843674662,0.9427995648,0.9381093501,0.9854333225,0.9951163557,0.9594079272,0.9077375893,0.9128414262,0.9664379768,0.9694156158,0.9360514951,0.8989271764,EUROC_LORO_04_V2_01_easy,
