evaluation_context,dataset,sequence_id,model,rmse_all,rmse_high_p95_targets,p95_threshold,notes
UZH_TO_EUROC,EUROC,V2_03_difficult,B1_LINEAR,2.10986491,4.887275493,11.58910389,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V2_03_difficult,B2_RIDGE_QF,0.9832615128,2.435291285,11.58910389,secondary descriptive; training unchanged
UZH_TO_EUROC,EUROC,V2_03_difficult,B3_RIDGE_QF_QW,0.9758729315,2.310585196,11.58910389,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B0_PERSISTENCE,4.075000184,13.71351545,17.79954506,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B1_LINEAR,9.097258821,27.37494838,17.79954506,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B2_RIDGE_QF,3.560772554,13.37172883,17.79954506,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,3.481177485,13.26656983,17.79954506,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B0_PERSISTENCE,4.075000184,13.71351545,17.79954506,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B1_LINEAR,9.097258821,27.37494838,17.79954506,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B2_RIDGE_QF,3.897489335,14.79035245,17.79954506,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW,3.809991061,14.47000665,17.79954506,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B0_PERSISTENCE,0.7614361482,0.8833404571,12.2869086,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B1_LINEAR,1.196040506,1.319463224,12.2869086,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B2_RIDGE_QF,0.8480617146,1.577221175,12.2869086,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,0.767715293,1.163070879,12.2869086,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B0_PERSISTENCE,0.7614361482,0.8833404571,12.2869086,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B1_LINEAR,1.196040506,1.319463224,12.2869086,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B2_RIDGE_QF,0.9450039656,2.109961209,12.2869086,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW,0.8969342115,1.9409457,12.2869086,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B0_PERSISTENCE,0.94906914,2.157787782,12.44105276,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B1_LINEAR,1.644397835,3.369118708,12.44105276,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B2_RIDGE_QF,0.9798605271,2.640146002,12.44105276,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,B3_RIDGE_QF_QW,0.8934917377,2.291680957,12.44105276,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B0_PERSISTENCE,0.94906914,2.157787782,12.44105276,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B1_LINEAR,1.644397835,3.369118708,12.44105276,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B2_RIDGE_QF,1.10100198,3.231978694,12.44105276,secondary descriptive; training unchanged
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B3_RIDGE_QF_QW,1.048908765,3.060906324,12.44105276,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,2.573046277,9.633296645,11.07949287,secondary descriptive; training unchanged
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B1_LINEAR,6.024103109,21.1081794,11.07949287,secondary descriptive; training unchanged
