evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,1450,2.573046277,0.6672585941,2.152853605,2.911681796,2.899976369,,0.587029529,0.9813292282,1.403929669,1.83977856,2.152853605,2.391938458,2.501182373,2.600872085,2.74008594,2.911681796,3.085251286,3.014656431,2.807442872,2.808850202,3.069276071,3.272544965,3.068450262,2.681930912,2.618979992,2.899976369,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B1_LINEAR,1450,6.024103109,1.230501778,3.595113711,5.755276045,8.755328026,-1.341233876,1.440059679,1.862548732,2.554136465,3.204305829,3.595113711,3.986420154,4.499862688,5.016164089,5.411215847,5.755276045,6.131607594,6.455573313,6.766762868,7.126153827,7.545589168,7.932103541,8.030431078,7.950499942,8.171927092,8.755328026,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B2_RIDGE_QF,1450,2.176603543,0.7049304759,1.982687495,2.416700318,2.447438331,0.1540752445,0.3452260379,1.093740933,1.607105159,1.723200554,1.982687495,2.269128306,2.281874175,2.148933322,2.136658713,2.416700318,2.677389689,2.532969438,2.182438836,2.153285119,2.500674643,2.756785207,2.564238585,2.170396927,2.112021156,2.447438331,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B3_RIDGE_QF_QW,1450,2.140724636,0.694141432,1.942751196,2.372893588,2.43777732,0.1680193804,0.3363129888,1.05409214,1.532144019,1.653458683,1.942751196,2.236506177,2.23643896,2.09285977,2.082754338,2.372893588,2.641496688,2.495838451,2.141941361,2.115252222,2.466761528,2.728867605,2.542072835,2.149630333,2.09657477,2.43777732,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,1281,3.160309351,0.6914528433,2.751060243,3.564106297,3.718252413,,0.9473567997,1.367718577,1.521982021,1.94594216,2.751060243,3.263042494,3.292057583,3.154696011,3.236253719,3.564106297,3.666265455,3.47406668,3.314589652,3.371939359,3.623431348,3.752747518,3.688067262,3.611824699,3.625757209,3.718252413,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B1_LINEAR,1281,7.678485509,1.331276841,4.766883373,6.905393425,11.48622707,-1.429662623,2.329834459,2.850181117,3.201394522,3.846485577,4.766883373,5.451466344,5.802576859,6.033505201,6.361427198,6.905393425,7.388347263,7.667654428,8.037304795,8.666932361,9.366742688,9.952147838,10.48453217,10.97030101,11.30653634,11.48622707,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B2_RIDGE_QF,1281,2.651463396,0.7592909731,2.482841892,2.958224698,2.966351373,0.1610114387,0.4334842793,1.35517517,1.937391971,2.047896408,2.482841892,2.932536601,2.888653092,2.643185175,2.673002882,2.958224698,3.098158453,2.937145218,2.717104772,2.708437293,2.973293777,3.128857609,3.005735467,2.781999457,2.737735979,2.966351373,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B3_RIDGE_QF_QW,1281,2.634099239,0.7502059428,2.473919788,2.962062762,2.979331859,0.1665058871,0.4170999175,1.300824013,1.867189709,2.015891442,2.473919788,2.914842355,2.860866881,2.645802427,2.702084932,2.962062762,3.064925995,2.892566842,2.694722303,2.699106061,2.961781617,3.100467191,2.966087817,2.758991079,2.738277001,2.979331859,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,1195,2.461928413,0.6232928448,2.35398342,2.748192434,2.913253624,,0.6516946525,1.459697126,2.05984979,2.134578531,2.35398342,2.579126459,2.472752818,2.427366529,2.509891745,2.748192434,2.780347732,2.553443497,2.485226973,2.542590274,2.820250638,2.897280895,2.610673271,2.50616205,2.644248865,2.913253624,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B1_LINEAR,1195,5.311640281,1.07939349,3.333968967,4.934659518,8.059489898,-1.157512076,1.060451203,1.848600133,2.745025455,3.067874586,3.333968967,3.785234718,4.088606494,4.262509967,4.495183698,4.934659518,5.231868346,5.381677142,5.701748452,6.064499325,6.461380858,6.806888188,7.00863774,7.239090029,7.596578698,8.059489898,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B2_RIDGE_QF,1195,2.01903845,0.7126889753,2.078676572,2.273704092,2.376545977,0.1798955488,0.3320780901,1.148640621,1.77687784,1.88166688,2.078676572,2.226426364,2.044295995,1.957075477,1.979752415,2.273704092,2.333262621,2.034716864,1.945696305,2.025591209,2.30549465,2.368285297,2.090608492,2.028969508,2.119916072,2.376545977,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B3_RIDGE_QF_QW,1195,2.000733662,0.700172331,2.080450341,2.257109401,2.368599895,0.1873306912,0.3304131178,1.140623653,1.761664999,1.874584249,2.080450341,2.218722023,2.026791285,1.94099316,1.965362383,2.257109401,2.306610048,2.003523579,1.916864405,1.998581634,2.282077056,2.341522991,2.059544537,1.999864412,2.098128114,2.368599895,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,1247,2.619887629,0.898977044,2.147006439,2.543710698,2.741032327,,0.8791134322,1.51730066,1.56851805,1.771603631,2.147006439,2.606751972,2.997075774,2.855736532,2.608860098,2.543710698,2.682460061,3.00414355,3.049096967,2.890126068,2.694225561,2.910488866,3.354208755,3.217950036,2.839715922,2.741032327,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B1_LINEAR,1247,6.104955021,1.495512699,3.748431499,5.635335967,8.671491902,-1.330235447,1.938493873,2.526217448,2.701853485,3.083450313,3.748431499,4.273120625,4.628864299,4.947353326,5.363360607,5.635335967,5.994735548,6.658473638,7.08672802,7.160806912,7.281846009,7.774583288,8.290547914,8.377126764,8.389400289,8.671491902,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B2_RIDGE_QF,1247,2.464578805,1.107907198,1.9935717,2.283114105,2.497749926,0.05928071953,0.511308111,1.545378058,2.039307454,1.908734129,1.9935717,2.38911631,2.824367599,2.732399632,2.420150128,2.283114105,2.534352795,2.949098983,2.89929772,2.576652975,2.425271059,2.692448583,3.099339502,2.973975907,2.617382932,2.497749926,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B3_RIDGE_QF_QW,1247,2.41386418,1.068329213,1.957983306,2.238721393,2.426011483,0.07863827708,0.5072162121,1.528523344,2.006491039,1.865264226,1.957983306,2.354788637,2.783002281,2.692109096,2.381138552,2.238721393,2.476287284,2.886990064,2.842388458,2.523595695,2.363532437,2.617988619,3.024289678,2.908478962,2.556811271,2.426011483,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,1672,2.193506128,0.7288247866,2.218223952,2.607084367,2.443049425,,0.7630691393,1.328314163,1.740091137,2.037149804,2.218223952,2.239129401,2.120505932,2.064076407,2.329170637,2.607084367,2.495318454,2.162710724,2.144525971,2.466809713,2.627136627,2.450140149,2.199718013,2.188887766,2.387489651,2.443049425,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B1_LINEAR,1672,4.281946961,1.289235722,2.796159702,4.295074739,6.142119035,-0.9521016636,1.096845776,1.601520465,2.11221576,2.516631877,2.796159702,3.013988279,3.190489333,3.377746523,3.790846082,4.295074739,4.508250642,4.480905895,4.609567691,4.976923245,5.292731764,5.444086569,5.552377883,5.719272375,5.957595545,6.142119035,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B2_RIDGE_QF,1672,1.593982042,0.7298524496,1.830576239,1.99373314,1.929937646,0.2733177162,0.2448711993,0.7588567472,1.219291637,1.628525298,1.830576239,1.783325771,1.480864377,1.355067078,1.717308759,1.99373314,1.819838341,1.418046282,1.418843781,1.784651226,1.973739771,1.771056066,1.438598545,1.442147536,1.769001966,1.929937646,TRANSFER_EUROC_TO_UZH,
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,1672,1.575942302,0.7085513011,1.819311825,1.981883773,1.915945263,0.2815418739,0.2434666435,0.7513480437,1.212173419,1.626821049,1.819311825,1.758422155,1.448652898,1.335017178,1.703573713,1.981883773,1.804911754,1.389306321,1.394409362,1.767749027,1.955728969,1.749247117,1.402336204,1.405540449,1.750561088,1.915945263,TRANSFER_EUROC_TO_UZH,
