evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_UZH,B0_PERSISTENCE,15,150,2.683051602
WITHIN_UZH,B0_PERSISTENCE,16,160,2.714776004
WITHIN_UZH,B0_PERSISTENCE,17,170,2.700634049
WITHIN_UZH,B0_PERSISTENCE,18,180,2.65473854
WITHIN_UZH,B0_PERSISTENCE,19,190,2.643728484
WITHIN_UZH,B0_PERSISTENCE,20,200,2.654521275
WITHIN_UZH,B1_LINEAR,1,10,1.440057407
WITHIN_UZH,B1_LINEAR,2,20,1.927099099
WITHIN_UZH,B1_LINEAR,3,30,2.327210237
WITHIN_UZH,B1_LINEAR,4,40,2.740798547
WITHIN_UZH,B1_LINEAR,5,50,3.151231373
WITHIN_UZH,B1_LINEAR,6,60,3.50695153
WITHIN_UZH,B1_LINEAR,7,70,3.838293726
WITHIN_UZH,B1_LINEAR,8,80,4.148983589
WITHIN_UZH,B1_LINEAR,9,90,4.452707533
WITHIN_UZH,B1_LINEAR,10,100,4.76685033
WITHIN_UZH,B1_LINEAR,11,110,5.078947887
WITHIN_UZH,B1_LINEAR,12,120,5.370172153
WITHIN_UZH,B1_LINEAR,13,130,5.675158214
WITHIN_UZH,B1_LINEAR,14,140,6.017342648
WITHIN_UZH,B1_LINEAR,15,150,6.349293263
WITHIN_UZH,B1_LINEAR,16,160,6.661371956
WITHIN_UZH,B1_LINEAR,17,170,6.938254332
WITHIN_UZH,B1_LINEAR,18,180,7.148469343
WITHIN_UZH,B1_LINEAR,19,190,7.344084595
WITHIN_UZH,B1_LINEAR,20,200,7.553936476
WITHIN_UZH,B2_RIDGE_QF,1,10,0.8012704879
WITHIN_UZH,B2_RIDGE_QF,2,20,1.208405378
WITHIN_UZH,B2_RIDGE_QF,3,30,1.48005099
WITHIN_UZH,B2_RIDGE_QF,4,40,1.674461782
WITHIN_UZH,B2_RIDGE_QF,5,50,1.873728059
WITHIN_UZH,B2_RIDGE_QF,6,60,2.029047557
WITHIN_UZH,B2_RIDGE_QF,7,70,2.052527114
WITHIN_UZH,B2_RIDGE_QF,8,80,2.01381695
WITHIN_UZH,B2_RIDGE_QF,9,90,2.057266348
WITHIN_UZH,B2_RIDGE_QF,10,100,2.129498307
WITHIN_UZH,B2_RIDGE_QF,11,110,2.156936582
