evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B0_PERSISTENCE,1450,2.573046277,0.6672585941,2.152853605,2.911681796,2.899976369,,0.587029529,0.9813292282,1.403929669,1.83977856,2.152853605,2.391938458,2.501182373,2.600872085,2.74008594,2.911681796,3.085251286,3.014656431,2.807442872,2.808850202,3.069276071,3.272544965,3.068450262,2.681930912,2.618979992,2.899976369,UZH_FPV_LORO_04_indoor_45_2_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B1_LINEAR,1450,6.024103109,1.230501778,3.595113711,5.755276045,8.755328026,-1.341233876,1.440059679,1.862548732,2.554136465,3.204305829,3.595113711,3.986420154,4.499862688,5.016164089,5.411215847,5.755276045,6.131607594,6.455573313,6.766762868,7.126153827,7.545589168,7.932103541,8.030431078,7.950499942,8.171927092,8.755328026,UZH_FPV_LORO_04_indoor_45_2_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B2_RIDGE_QF,1450,2.084439628,0.6940864885,2.03718081,2.24537999,2.206795364,0.1898942328,1.465401226,1.552210452,1.543918206,1.722713659,2.03718081,2.332529845,2.265628995,2.02706878,1.992685871,2.24537999,2.491730231,2.344797084,2.040386498,1.983802487,2.234208607,2.481375367,2.333337563,2.015995243,1.95222299,2.206795364,UZH_FPV_LORO_04_indoor_45_2_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,B3_RIDGE_QF_QW,1450,2.105835822,0.7279284654,2.04511079,2.260983319,2.247219071,0.1815787221,1.466342704,1.557823054,1.545872107,1.722889811,2.04511079,2.34494078,2.276882048,2.038105774,2.006410121,2.260983319,2.509140401,2.366255629,2.068268511,2.016531495,2.267393896,2.513424051,2.369134497,2.060521368,1.99820579,2.247219071,UZH_FPV_LORO_04_indoor_45_2_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B0_PERSISTENCE,1281,3.160309351,0.6914528433,2.751060243,3.564106297,3.718252413,,0.9473567997,1.367718577,1.521982021,1.94594216,2.751060243,3.263042494,3.292057583,3.154696011,3.236253719,3.564106297,3.666265455,3.47406668,3.314589652,3.371939359,3.623431348,3.752747518,3.688067262,3.611824699,3.625757209,3.718252413,UZH_FPV_LORO_05_indoor_45_4_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B1_LINEAR,1281,7.678485509,1.331276841,4.766883373,6.905393425,11.48622707,-1.429662623,2.329834459,2.850181117,3.201394522,3.846485577,4.766883373,5.451466344,5.802576859,6.033505201,6.361427198,6.905393425,7.388347263,7.667654428,8.037304795,8.666932361,9.366742688,9.952147838,10.48453217,10.97030101,11.30653634,11.48622707,UZH_FPV_LORO_05_indoor_45_4_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B2_RIDGE_QF,1281,2.471973853,0.6923855902,2.32197384,2.853163006,2.79970284,0.2178063668,0.6580006233,1.170839142,1.301554906,1.579673555,2.32197384,2.785650385,2.724656316,2.523633163,2.568015903,2.853163006,2.954634769,2.800218844,2.622403544,2.577284541,2.782485146,2.88764091,2.738155041,2.556263511,2.549357979,2.79970284,UZH_FPV_LORO_05_indoor_45_4_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,B3_RIDGE_QF_QW,1281,2.468347002,0.6972275042,2.348515034,2.841583134,2.803034646,0.2189539924,0.6879245714,1.234111717,1.415074796,1.668875639,2.348515034,2.781181899,2.700702569,2.489745479,2.545714028,2.841583134,2.916668707,2.739476181,2.563190411,2.545624168,2.782715535,2.869128579,2.728999085,2.596367157,2.586446779,2.803034646,UZH_FPV_LORO_05_indoor_45_4_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B0_PERSISTENCE,1195,2.461928413,0.6232928448,2.35398342,2.748192434,2.913253624,,0.6516946525,1.459697126,2.05984979,2.134578531,2.35398342,2.579126459,2.472752818,2.427366529,2.509891745,2.748192434,2.780347732,2.553443497,2.485226973,2.542590274,2.820250638,2.897280895,2.610673271,2.50616205,2.644248865,2.913253624,UZH_FPV_LORO_06_indoor_45_13_snapdragon,
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B1_LINEAR,1195,5.311640281,1.07939349,3.333968967,4.934659518,8.059489898,-1.157512076,1.060451203,1.848600133,2.745025455,3.067874586,3.333968967,3.785234718,4.088606494,4.262509967,4.495183698,4.934659518,5.231868346,5.381677142,5.701748452,6.064499325,6.461380858,6.806888188,7.00863774,7.239090029,7.596578698,8.059489898,UZH_FPV_LORO_06_indoor_45_13_snapdragon,
