evaluation_context,fold_id,model,fit_dataset,fit_sequences,n_features,n_windows,target_scaler,fit_scope,mean_l2,std_l2,config_hash
WITHIN_UZH,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,B2_RIDGE_QF,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",10,9687,NONE,SOURCE_TRAIN_ONLY,31.30994042,8.391247084,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",20,9687,NONE,SOURCE_TRAIN_ONLY,31.37221427,8.588895528,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_04_indoor_45_2_snapdragon,B2_RIDGE_QF,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",25,9719,NONE,SOURCE_TRAIN_ONLY,49.84129453,12.84103615,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_04_indoor_45_2_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",50,9719,NONE,SOURCE_TRAIN_ONLY,49.93918718,13.17657821,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_05_indoor_45_4_snapdragon,B2_RIDGE_QF,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",10,9888,NONE,SOURCE_TRAIN_ONLY,31.58714574,7.9461424,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_05_indoor_45_4_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",20,9888,NONE,SOURCE_TRAIN_ONLY,31.65070441,8.163469395,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_06_indoor_45_13_snapdragon,B2_RIDGE_QF,UZH_FPV,"indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",25,9974,NONE,SOURCE_TRAIN_ONLY,49.87930483,13.00843735,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_06_indoor_45_13_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,"indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",20,9974,NONE,SOURCE_TRAIN_ONLY,31.61477856,8.44931832,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_07_indoor_45_14_snapdragon,B2_RIDGE_QF,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",25,9922,NONE,SOURCE_TRAIN_ONLY,49.36699036,12.38456833,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_07_indoor_45_14_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",50,9922,NONE,SOURCE_TRAIN_ONLY,49.45728179,12.697319,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,B2_RIDGE_QF,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon",25,9497,NONE,SOURCE_TRAIN_ONLY,49.82172851,13.18611698,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
WITHIN_UZH,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon",50,9497,NONE,SOURCE_TRAIN_ONLY,49.93113904,13.51704263,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
EUROC_TO_UZH,TRANSFER_EUROC_TO_UZH,B2_RIDGE_QF,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",25,13474,NONE,SOURCE_TRAIN_ONLY,49.38934441,4.389089529,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
EUROC_TO_UZH,TRANSFER_EUROC_TO_UZH,B3_RIDGE_QF_QW,EUROC,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",50,13474,NONE,SOURCE_TRAIN_ONLY,49.45422806,4.75122045,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
UZH_TO_EUROC,TRANSFER_UZH_TO_EUROC,B2_RIDGE_QF,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",25,11169,NONE,SOURCE_TRAIN_ONLY,49.58698655,12.6913749,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
UZH_TO_EUROC,TRANSFER_UZH_TO_EUROC,B3_RIDGE_QF_QW,UZH_FPV,"indoor_45_13_snapdragon,indoor_45_14_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_forward_10_snapdragon,indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,outdoor_forward_1_snapdragon",20,11169,NONE,SOURCE_TRAIN_ONLY,31.42781232,8.240853613,0073b683fa0420810c8225be00fb649f11c3616949f07b4b97bae710700a4561
