evaluation_context,dataset,sequence_id,model,lag,selected_alpha,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1195,1.84619979,0.669191983,1.955593721,2.077274295,2.100900153,,1.185967123,1.302940396,1.605244325,1.697502387,1.955593721,2.079600972,1.818121465,1.720799707,1.806145506,2.077274295,2.119816971,1.817294007,1.749405627,1.841184499,2.093651024,2.135332188,1.843188709,1.776476999,1.859292033,2.100900153,UZH_FPV_LORO_06_indoor_45_13_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1247,2.395702651,1.098175706,2.09933308,2.249929253,2.323582702,,1.540330193,2.07894832,2.082399472,2.01587962,2.09933308,2.379761202,2.7248964,2.607895158,2.345530293,2.249929253,2.454274197,2.790706026,2.667114552,2.392485603,2.29895651,2.515844494,2.839405866,2.696146278,2.416310658,2.323582702,UZH_FPV_LORO_07_indoor_45_14_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1672,1.549573239,0.6307720889,1.820823487,1.926452886,1.935528807,,0.9460950453,0.8814697705,1.181077957,1.61302265,1.820823487,1.642039853,1.279448889,1.29899663,1.70878873,1.926452886,1.696293779,1.285193776,1.331636922,1.746513932,1.939709712,1.699662946,1.309649097,1.35775366,1.754548142,1.935528807,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,fixed lag=100; nested source-only alpha; held-out never trained
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1349,3.876998729,1.772444256,2.945992978,3.909030288,4.331361014,,0.596294384,1.946391122,3.04969834,3.250199136,2.945992978,3.051494021,3.705090653,4.221023583,4.273416377,3.909030288,3.812403723,4.252458326,4.616084984,4.612096093,4.258309139,4.129524585,4.479876761,4.748114024,4.66667492,4.331361014,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1493,1.006654569,0.7821229417,0.7087335617,1.014485688,1.363354123,,0.1539753697,0.4613580495,0.6412400747,0.6804577584,0.7087335617,0.7856513037,0.8510958859,0.8905841015,0.9575691066,1.014485688,1.041597994,1.072183063,1.110542147,1.152650975,1.191396625,1.237236459,1.26446302,1.277949896,1.31748766,1.363354123,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1482,1.153618926,0.8100838246,0.9416170275,1.174276863,1.549922663,,0.1569734677,0.4953982321,0.7660217323,0.9041357319,0.9416170275,0.9267969848,0.9417428485,1.015100827,1.124196352,1.174276863,1.165609305,1.192145649,1.261882094,1.32580252,1.35782748,1.380572453,1.410399125,1.447811476,1.506485569,1.549922663,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1450,2.19120195,0.7441785238,2.014251173,2.463707716,2.450036915,,0.3492001551,1.09300202,1.585964652,1.711614952,2.014251173,2.307254834,2.306985574,2.167450994,2.169895517,2.463707716,2.71796023,2.566067109,2.198602294,2.149700037,2.496351825,2.765848272,2.581723187,2.168365583,2.099597661,2.450036915,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1281,2.673072948,0.8180356022,2.538098293,2.985236745,3.015197407,,0.4312545787,1.342148884,1.920079829,2.06730386,2.538098293,2.978029151,2.903318262,2.653191878,2.69333626,2.985236745,3.123776927,2.951650663,2.725781594,2.712529065,2.98252654,3.148157341,3.030443623,2.816837867,2.782038571,3.015197407,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1195,2.061858443,0.7635765063,2.155999073,2.342835698,2.40510364,,0.3449723025,1.17777899,1.808928494,1.94146282,2.155999073,2.28872187,2.103923974,2.011241861,2.051835685,2.342835698,2.380708172,2.087759478,1.991235225,2.061380377,2.330300436,2.385546066,2.120963755,2.049613837,2.138827079,2.40510364,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1247,2.445235409,1.153523448,1.957562786,2.242824043,2.513332935,,0.5112207804,1.546235246,2.041248953,1.886247245,1.957562786,2.345414856,2.77656567,2.693518402,2.390058667,2.242824043,2.469701717,2.89650572,2.875490005,2.563889624,2.411414953,2.68632111,3.101174563,2.987705075,2.635107415,2.513332935,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B3_RIDGE_QF_QW_FIXED_LAG100,100,0.0001,1672,1.596412031,0.7591547342,1.789430475,2.002084816,1.938989825,,0.2485509062,0.7690955926,1.23592239,1.623091551,1.789430475,1.743347049,1.467002193,1.366135959,1.728373831,2.002084816,1.83566801,1.440493527,1.430814928,1.788035763,1.974647183,1.784065892,1.457283481,1.447228693,1.775132808,1.938989825,TRANSFER_EUROC_TO_UZH,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
UZH_TO_EUROC,EUROC,V1_01_easy,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2868,0.5375039001,0.4039766699,0.4833346977,0.5526278515,0.5947196572,,0.3729644913,0.4424889233,0.4645328437,0.4837421387,0.4833346977,0.4832926966,0.5038846141,0.5374861822,0.5621827459,0.5526278515,0.5422438234,0.5512073244,0.5737791781,0.5956173277,0.5868897082,0.5728351264,0.5760903299,0.5931481291,0.6085014805,0.5947196572,TRANSFER_UZH_TO_EUROC,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
UZH_TO_EUROC,EUROC,V1_02_medium,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,1666,0.7826556036,0.581493308,0.665691628,0.786091624,0.8520929231,,0.509408395,0.6135931531,0.6515648447,0.6546410686,0.665691628,0.7105252908,0.7650660942,0.8028399383,0.7982796732,0.786091624,0.8074598203,0.8420819012,0.8647558365,0.8549164052,0.8382655546,0.8518543409,0.8794676699,0.8931403653,0.8737861386,0.8520929231,TRANSFER_UZH_TO_EUROC,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
UZH_TO_EUROC,EUROC,V1_03_difficult,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2106,0.8083091718,0.6167408505,0.7122449966,0.8307817861,0.8928033397,,0.5521469367,0.6584675113,0.6863817106,0.6971102988,0.7122449966,0.736052256,0.7747782883,0.8110388295,0.8293512546,0.8307817861,0.8332157753,0.8496009159,0.8685050911,0.882141089,0.88206414,0.8780547571,0.8860355813,0.8949189842,0.897771974,0.8928033397,TRANSFER_UZH_TO_EUROC,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
UZH_TO_EUROC,EUROC,V2_01_easy,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2236,0.9553959709,0.6109852411,0.8828703288,0.9315981459,0.9504874711,,0.7355951368,0.9160537543,0.9332736926,0.8998377558,0.8828703288,0.9159585828,0.9928086884,1.015253545,0.9789926505,0.9315981459,0.9449371664,1.012030756,1.022158412,0.982227438,0.9408395348,0.9570509787,1.023335038,1.034034718,0.9928900043,0.9504874711,TRANSFER_UZH_TO_EUROC,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
UZH_TO_EUROC,EUROC,V2_02_medium,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2305,0.978590365,0.7352971401,0.8678096509,0.9988462507,1.069992164,,0.6743001577,0.8039751543,0.831011027,0.835231462,0.8678096509,0.9134658223,0.962647322,0.9904752311,0.991061265,0.9988462507,1.01948209,1.041822403,1.048509963,1.044462727,1.051909401,1.066495284,1.083139586,1.082165397,1.067847538,1.069992164,TRANSFER_UZH_TO_EUROC,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
UZH_TO_EUROC,EUROC,V2_03_difficult,B3_RIDGE_QF_QW_FIXED_LAG100,100,1,2293,0.9915502833,0.7216927501,0.9229147048,1.025853695,1.077727436,,0.7316714351,0.8411175019,0.822752346,0.8455333649,0.9229147048,0.9824747206,1.006576652,0.977908336,0.9817140939,1.025853695,1.060576069,1.065186071,1.024357762,1.023766629,1.063934386,1.093506914,1.093899375,1.048198638,1.041491903,1.077727436,TRANSFER_UZH_TO_EUROC,zero-shot; source-frozen lag=100 Ridge B3; target unused for fit or alpha
