evaluation_context,phase,fold_id,dataset,model,selected_lag,selected_alpha,selection_score_rmse,n_tied,train_sequences,held_out_sequence,notes
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,UZH_FPV,B2_RIDGE_QF,10,0.01,2.16632763,4,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_forward_10_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_03_indoor_forward_10_snapdragon,UZH_FPV,B3_RIDGE_QF_QW,10,0.01,2.13181877,3,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_forward_10_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_04_indoor_45_2_snapdragon,UZH_FPV,B2_RIDGE_QF,25,1,1.998193084,4,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_45_2_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_04_indoor_45_2_snapdragon,UZH_FPV,B3_RIDGE_QF_QW,25,1,1.942801319,2,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_45_2_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_05_indoor_45_4_snapdragon,UZH_FPV,B2_RIDGE_QF,10,0.01,1.950676932,7,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_45_4_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_05_indoor_45_4_snapdragon,UZH_FPV,B3_RIDGE_QF_QW,10,0.01,1.896211341,4,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_45_4_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_06_indoor_45_13_snapdragon,UZH_FPV,B2_RIDGE_QF,25,0.01,2.006049584,3,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_45_13_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_06_indoor_45_13_snapdragon,UZH_FPV,B3_RIDGE_QF_QW,10,0.01,1.977646506,3,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",indoor_45_13_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_07_indoor_45_14_snapdragon,UZH_FPV,B2_RIDGE_QF,25,1,2.006405018,4,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,outdoor_forward_1_snapdragon",indoor_45_14_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_07_indoor_45_14_snapdragon,UZH_FPV,B3_RIDGE_QF_QW,25,1,1.975321843,2,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,outdoor_forward_1_snapdragon",indoor_45_14_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,UZH_FPV,B2_RIDGE_QF,25,1,2.078798883,2,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon",outdoor_forward_1_snapdragon,nested source-only; held-out sequence excluded
WITHIN_UZH,WITHIN_NESTED_SELECTION,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,UZH_FPV,B3_RIDGE_QF_QW,25,1,2.033438522,1,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon",outdoor_forward_1_snapdragon,nested source-only; held-out sequence excluded
SOURCE_SELECTION_EUROC,SOURCE_SELECTION_FOR_TRANSFER,EUROC_SOURCE_ALL,EUROC,B2_RIDGE_QF,25,0.0001,0.7467378132,5,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,source-only group-aware selection; no target data
SOURCE_SELECTION_EUROC,SOURCE_SELECTION_FOR_TRANSFER,EUROC_SOURCE_ALL,EUROC,B3_RIDGE_QF_QW,25,0.0001,0.7416754064,4,"V1_01_easy,V1_02_medium,V1_03_difficult,V2_01_easy,V2_02_medium,V2_03_difficult",,source-only group-aware selection; no target data
SOURCE_SELECTION_UZH,SOURCE_SELECTION_FOR_TRANSFER,UZH_SOURCE_ALL,UZH_FPV,B2_RIDGE_QF,25,1,2.015532414,4,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,source-only group-aware selection; no target data
SOURCE_SELECTION_UZH,SOURCE_SELECTION_FOR_TRANSFER,UZH_SOURCE_ALL,UZH_FPV,B3_RIDGE_QF_QW,10,0.01,1.981207773,3,"indoor_forward_6_snapdragon,indoor_forward_9_snapdragon,indoor_forward_10_snapdragon,indoor_45_2_snapdragon,indoor_45_4_snapdragon,indoor_45_13_snapdragon,indoor_45_14_snapdragon,outdoor_forward_1_snapdragon",,source-only group-aware selection; no target data
