evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
EUROC_TO_UZH,UZH_FPV,indoor_45_13_snapdragon,BEST_RIDGE,1195,2.000733662,0.700172331,2.080450341,2.257109401,2.368599895,0.1873306912,0.3304131178,1.140623653,1.761664999,1.874584249,2.080450341,2.218722023,2.026791285,1.94099316,1.965362383,2.257109401,2.306610048,2.003523579,1.916864405,1.998581634,2.282077056,2.341522991,2.059544537,1.999864412,2.098128114,2.368599895,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,1247,2.619887629,0.898977044,2.147006439,2.543710698,2.741032327,,0.8791134322,1.51730066,1.56851805,1.771603631,2.147006439,2.606751972,2.997075774,2.855736532,2.608860098,2.543710698,2.682460061,3.00414355,3.049096967,2.890126068,2.694225561,2.910488866,3.354208755,3.217950036,2.839715922,2.741032327,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_45_14_snapdragon,BEST_RIDGE,1247,2.41386418,1.068329213,1.957983306,2.238721393,2.426011483,0.07863827708,0.5072162121,1.528523344,2.006491039,1.865264226,1.957983306,2.354788637,2.783002281,2.692109096,2.381138552,2.238721393,2.476287284,2.886990064,2.842388458,2.523595695,2.363532437,2.617988619,3.024289678,2.908478962,2.556811271,2.426011483,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,1672,2.193506128,0.7288247866,2.218223952,2.607084367,2.443049425,,0.7630691393,1.328314163,1.740091137,2.037149804,2.218223952,2.239129401,2.120505932,2.064076407,2.329170637,2.607084367,2.495318454,2.162710724,2.144525971,2.466809713,2.627136627,2.450140149,2.199718013,2.188887766,2.387489651,2.443049425,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,outdoor_forward_1_snapdragon,BEST_RIDGE,1672,1.575942302,0.7085513011,1.819311825,1.981883773,1.915945263,0.2815418739,0.2434666435,0.7513480437,1.212173419,1.626821049,1.819311825,1.758422155,1.448652898,1.335017178,1.703573713,1.981883773,1.804911754,1.389306321,1.394409362,1.767749027,1.955728969,1.749247117,1.402336204,1.405540449,1.750561088,1.915945263,TRANSFER_EUROC_TO_UZH,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
EUROC_TO_UZH,UZH_FPV,indoor_forward_6_snapdragon,TCN,1349,3.834709361,1.741802832,3.459218251,3.755166018,4.007635266,0.05896707045,1.466043859,2.629419582,3.113625912,3.55185314,3.459218251,3.446012436,3.954810289,4.174738727,4.254090802,3.755166018,3.732380393,4.180902168,4.408212157,4.372374191,4.020702317,3.775444103,4.083175386,4.476131437,4.479105202,4.007635266,,frozen source checkpoint; mean over seeds,TCN12,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_9_snapdragon,TCN,1493,0.89199191,0.6927129979,0.6944076974,0.8701276966,1.160024529,-0.1714598947,0.4578752273,0.5924042575,0.6015119794,0.6622675309,0.6944076974,0.6979425759,0.7423728632,0.7783963476,0.825583157,0.8701276966,0.9325155208,1.012547372,0.9699036422,1.024980501,1.029644384,1.035361338,1.06202488,1.086209896,1.134059127,1.160024529,,frozen source checkpoint; mean over seeds,TCN12,YES
EUROC_TO_UZH,UZH_FPV,indoor_forward_10_snapdragon,TCN,1482,1.040586274,0.7273454935,0.899965742,1.040097873,1.324697965,-0.09642831056,0.4589593717,0.6387049305,0.7183087597,0.8652090339,0.899965742,0.8063233662,0.877836037,0.9314521451,1.031883936,1.040097873,1.084481539,1.137031985,1.119123904,1.190471492,1.220754437,1.171079862,1.178174336,1.266516708,1.319490897,1.324697965,,frozen source checkpoint; mean over seeds,TCN12,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_2_snapdragon,TCN,1450,2.136540826,0.7180983809,2.105550172,2.300313885,2.387560991,0.1696453947,1.072160192,1.503760251,1.519949583,1.709261182,2.105550172,2.451745444,2.292985203,2.018275423,1.997450187,2.300313885,2.552986935,2.437951278,2.080776873,2.026196659,2.347372825,2.596540498,2.478416289,2.087651133,2.036880177,2.387560991,,frozen source checkpoint; mean over seeds,TCN12,YES
EUROC_TO_UZH,UZH_FPV,indoor_45_4_snapdragon,TCN,1281,2.566196574,0.7642448753,2.522194499,2.791006952,2.837666604,0.1879919688,1.327222327,1.855271359,1.832454497,1.951345476,2.522194499,2.866486456,2.748411727,2.50405776,2.505829659,2.791006952,2.919562466,2.859796416,2.638877533,2.576367922,2.8426775,2.945974673,2.838294335,2.638829094,2.560232706,2.837666604,,frozen source checkpoint; mean over seeds,TCN12,YES
