evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
UZH_TO_EUROC,EUROC,V1_01_easy,B0_PERSISTENCE,2868,0.5639882678,0.4047078867,0.4680215359,0.5449944889,0.6620481976,,0.3374251226,0.5247497236,0.5466912298,0.5011542894,0.4680215359,0.4727831861,0.5099722901,0.5580921904,0.5728227981,0.5449944889,0.5448083516,0.5747751012,0.5973749675,0.6131433893,0.6135437811,0.6116144116,0.6183975612,0.6402746059,0.6648243543,0.6620481976,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
UZH_TO_EUROC,EUROC,V2_03_difficult,BEST_RIDGE,2293,0.9832615128,0.697028034,0.8952440662,1.006954067,1.090210852,0.134110885,0.7141954318,0.8295168521,0.8005038704,0.8132682109,0.8952440662,0.9661429855,0.9970735374,0.9649955043,0.9624473184,1.006954067,1.050161177,1.062796485,1.019784107,1.013342731,1.056982926,1.095303965,1.10235595,1.056764612,1.048117431,1.090210852,TRANSFER_UZH_TO_EUROC,Stage-2 frozen baseline; not refit,B2_RIDGE_QF,NA_STAGE2
UZH_TO_EUROC,EUROC,V1_01_easy,TCN,2868,0.5492607363,0.4173302861,0.4489256322,0.5135146146,0.5706555713,0.02611318766,0.3694508445,0.4815744767,0.5122697129,0.5596840751,0.4489256322,0.4920319756,0.5427332417,0.5863507424,0.5363891125,0.5135146146,0.4794231508,0.5123792589,0.5932346825,0.5902175215,0.6062800813,0.5999192034,0.616302848,0.6267011458,0.6152514013,0.5706555713,,frozen source checkpoint; mean over seeds,TCN07,YES
UZH_TO_EUROC,EUROC,V1_02_medium,TCN,1666,0.7515307635,0.5556374283,0.5983547798,0.7181893741,0.8222239744,0.05170599603,0.4536421098,0.6146540185,0.6403108688,0.6613987367,0.5983547798,0.6601884443,0.7427561958,0.7983143424,0.7136159245,0.7181893741,0.728260364,0.7783023638,0.8347599902,0.8102972782,0.8133712164,0.8483161002,0.8744723821,0.8762172796,0.8655987053,0.8222239744,,frozen source checkpoint; mean over seeds,TCN07,YES
UZH_TO_EUROC,EUROC,V1_03_difficult,TCN,2106,0.7877053176,0.5965786423,0.6449339688,0.7682989765,0.8619972518,0.06042536063,0.5176806559,0.7103967092,0.7278488859,0.7277269231,0.6449339688,0.7040820322,0.7530036282,0.8148730816,0.7587966322,0.7682989765,0.7634133473,0.7904725753,0.8485514686,0.839765892,0.8677683074,0.8855016127,0.8772958497,0.8891706122,0.8720648558,0.8619972518,,frozen source checkpoint; mean over seeds,TCN07,YES
UZH_TO_EUROC,EUROC,V2_01_easy,TCN,2236,0.9505216063,0.6133753148,0.8125511481,0.9311010567,0.9365863773,0.158915536,0.6461856599,0.9142754634,0.9219431208,0.9016380992,0.8125511481,0.9048137107,1.001860098,1.041998804,0.9892469681,0.9311010567,0.9055460502,0.9800557019,1.037580735,0.9823779025,0.9529123779,0.9747710317,1.042008329,1.034187479,0.9977997864,0.9365863773,,frozen source checkpoint; mean over seeds,TCN07,YES
UZH_TO_EUROC,EUROC,V2_02_medium,TCN,2305,0.9377700447,0.6932727304,0.7870533192,0.9378340185,1.040149147,0.09952819966,0.6102773763,0.838477543,0.836642458,0.8309080757,0.7870533192,0.8488618565,0.9090774009,0.9499725564,0.914515661,0.9378340185,0.9346021439,0.9658126892,0.993707327,0.9852477801,1.019693897,1.049125838,1.060690166,1.053331993,1.047804769,1.040149147,,frozen source checkpoint; mean over seeds,TCN07,YES
UZH_TO_EUROC,EUROC,V2_03_difficult,TCN,2293,0.975504881,0.697085848,0.8787017058,1.001469844,1.064850443,0.1409416039,0.6307714486,0.8572017979,0.8351718314,0.8800189615,0.8787017058,0.9447861506,0.9932311814,0.9692832782,0.9296067818,1.001469844,1.020051774,1.036737334,1.01263037,0.9929608056,1.051249866,1.112817601,1.100462473,1.029565448,1.039374332,1.064850443,,frozen source checkpoint; mean over seeds,TCN07,YES
UZH_TO_EUROC,EUROC,V1_01_easy,GRU,2868,0.5104666487,0.3829568506,0.4369249234,0.5059145259,0.5789727353,0.09489846185,0.4273750529,0.4656404241,0.4575779639,0.4520418848,0.4369249234,0.4372875594,0.4574330902,0.4953945713,0.5166257976,0.5059145259,0.504801342,0.502940413,0.5526918366,0.5577905925,0.547955127,0.5464368329,0.5402500175,0.5813270301,0.5881799648,0.5789727353,,frozen source checkpoint; mean over seeds,GRU07,YES
UZH_TO_EUROC,EUROC,V1_02_medium,GRU,1666,0.7221675058,0.5223842655,0.5595690979,0.6979241908,0.8371317211,0.08875704247,0.5208812749,0.5734525162,0.5683659813,0.5515391404,0.5595690979,0.6188697475,0.6667751511,0.7027954927,0.6988894739,0.6979241908,0.7352944244,0.7723091487,0.8099488417,0.7921698209,0.7805082605,0.8108455469,0.845534451,0.8744146262,0.8508718575,0.8371317211,,frozen source checkpoint; mean over seeds,GRU07,YES
UZH_TO_EUROC,EUROC,V1_03_difficult,GRU,2106,0.7731166547,0.5800246788,0.6198890102,0.7707909945,0.9136138991,0.07782671281,0.5586859435,0.6313164718,0.6238246831,0.6094650065,0.6198890102,0.6576791274,0.701192338,0.7383191447,0.7557838168,0.7707909945,0.7898308196,0.8026237904,0.8472793534,0.8533133365,0.8626539945,0.8748376716,0.8763565951,0.9018841306,0.9066822863,0.9136138991,,frozen source checkpoint; mean over seeds,GRU07,YES
UZH_TO_EUROC,EUROC,V2_01_easy,GRU,2236,0.9497456778,0.5804763744,0.8879775376,0.9201739536,0.9476988402,0.159602129,0.7783679236,0.9202609602,0.9301419897,0.9102385659,0.8879775376,0.9150964863,0.9844521492,1.009415889,0.9743543142,0.9201739536,0.9321134194,0.9891325388,1.010814642,0.968161455,0.9211225896,0.9405925553,1.003256362,1.029958557,0.9885305978,0.9476988402,,frozen source checkpoint; mean over seeds,GRU07,YES
UZH_TO_EUROC,EUROC,V2_02_medium,GRU,2305,0.9147573936,0.6593961408,0.7843601022,0.912632546,1.043008008,0.1216255608,0.6745481766,0.7593987927,0.7641304573,0.759027503,0.7843601022,0.8279367465,0.8699217817,0.9022289942,0.9010340968,0.912632546,0.9392364584,0.9594318618,0.9845644303,0.9784573144,0.9927043451,1.008999932,1.023261669,1.044333466,1.033483662,1.043008008,,frozen source checkpoint; mean over seeds,GRU07,YES
UZH_TO_EUROC,EUROC,V2_03_difficult,GRU,2293,0.9579908658,0.6656328936,0.8714896147,0.9813104993,1.060323138,0.1563649627,0.7521143362,0.8324377988,0.7854015489,0.791456386,0.8714896147,0.9472266175,0.9728255158,0.9351350275,0.9319088081,0.9813104993,1.027163037,1.032970674,0.9899524862,0.9789684596,1.021362977,1.06106496,1.062759886,1.019280626,1.010499424,1.060323138,,frozen source checkpoint; mean over seeds,GRU07,YES
UZH_TO_EUROC,EUROC,V1_01_easy,TRANSFORMER,2868,0.5121124068,0.38291893,0.4681086108,0.5150105381,0.5886031505,0.09198039025,0.3369344799,0.4821621838,0.5025663013,0.4617389562,0.4681086108,0.4655609686,0.4625705805,0.5027968768,0.5279249537,0.5150105381,0.495994387,0.5055263142,0.5132568693,0.5449541152,0.546399394,0.5236174946,0.5599545158,0.5847369517,0.5867178249,0.5886031505,,frozen source checkpoint; mean over seeds,TR05,YES
UZH_TO_EUROC,EUROC,V1_02_medium,TRANSFORMER,1666,0.7243424698,0.5298389161,0.5779960318,0.6896863153,0.8335933454,0.08601263683,0.4029498369,0.5978603782,0.6402760547,0.5756556068,0.5779960318,0.6169637649,0.6662600582,0.7028516842,0.7073228163,0.6896863153,0.716165111,0.7787649752,0.7997706098,0.8004510524,0.7887792989,0.8210015764,0.8498938255,0.8772330833,0.847911813,0.8335933454,,frozen source checkpoint; mean over seeds,TR05,YES
UZH_TO_EUROC,EUROC,V1_03_difficult,TRANSFORMER,2106,0.7914370094,0.5933770683,0.6601005319,0.7895884788,0.9225422566,0.05597419986,0.4640168363,0.7051189398,0.7496302341,0.6687331918,0.6601005319,0.662115264,0.7045419315,0.7479857311,0.7964265252,0.7895884788,0.77863446,0.8235815008,0.8303093791,0.8720419545,0.8855468518,0.8913464844,0.8876654088,0.9065369861,0.9170928699,0.9225422566,,frozen source checkpoint; mean over seeds,TR05,YES
UZH_TO_EUROC,EUROC,V2_01_easy,TRANSFORMER,2236,0.9475556423,0.593544754,0.8523050188,0.9437688931,0.9477306212,0.1615400174,0.6415778802,0.945213329,0.960442908,0.8720488484,0.8523050188,0.8826205053,0.9504212554,1.00034583,0.9970367948,0.9437688931,0.9517716253,1.013514151,1.017488652,0.983103738,0.9450580741,0.9467706516,1.017012388,1.030631438,0.975858229,0.9477306212,,frozen source checkpoint; mean over seeds,TR05,YES
UZH_TO_EUROC,EUROC,V2_02_medium,TRANSFORMER,2305,0.9378466497,0.6857192555,0.7926162122,0.9268759154,1.044714946,0.09945464144,0.582581904,0.87643146,0.904101284,0.7923129577,0.7926162122,0.8249025832,0.8689759981,0.9155294345,0.9416254607,0.9268759154,0.9475840774,0.996206098,0.991008128,0.9946123384,1.014436866,1.037151476,1.049797094,1.070069483,1.040751199,1.044714946,,frozen source checkpoint; mean over seeds,TR05,YES
UZH_TO_EUROC,EUROC,V2_03_difficult,TRANSFORMER,2293,0.9879778579,0.6926622331,0.8899559515,1.002747633,1.077582896,0.1299575323,0.5876270069,0.8740509361,0.8948265946,0.8345113268,0.8899559515,0.9407173396,0.9739725893,0.9495999575,0.9732703812,1.002747633,1.05046956,1.087035957,1.032521593,1.025982304,1.076693663,1.121649261,1.114823159,1.065006403,1.035890509,1.077582896,,frozen source checkpoint; mean over seeds,TR05,YES
