evaluation_context,dataset,sequence_id,model,n_origins,rmse_all_horizons,mae_all_horizons,rmse_50ms,rmse_100ms,rmse_200ms,skill,rmse_h01,rmse_h02,rmse_h03,rmse_h04,rmse_h05,rmse_h06,rmse_h07,rmse_h08,rmse_h09,rmse_h10,rmse_h11,rmse_h12,rmse_h13,rmse_h14,rmse_h15,rmse_h16,rmse_h17,rmse_h18,rmse_h19,rmse_h20,fold_id,notes,config_id,seeds_mean
WITHIN_UZH,UZH_FPV,indoor_45_13_snapdragon,BEST_RIDGE,1195,1.929808891,0.639135891,2.016320689,2.253245103,2.163739027,0.2161393157,0.5378367645,1.352322161,1.88692343,1.841144353,2.016320689,2.184886214,1.96038024,1.866273444,1.978068418,2.253245103,2.259013085,1.923422092,1.813245838,1.863982625,2.149589196,2.208375881,1.910856324,1.819211628,1.885308227,2.163739027,UZH_FPV_LORO_06_indoor_45_13_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,B0_PERSISTENCE,1247,2.619887629,0.898977044,2.147006439,2.543710698,2.741032327,,0.8791134322,1.51730066,1.56851805,1.771603631,2.147006439,2.606751972,2.997075774,2.855736532,2.608860098,2.543710698,2.682460061,3.00414355,3.049096967,2.890126068,2.694225561,2.910488866,3.354208755,3.217950036,2.839715922,2.741032327,UZH_FPV_LORO_07_indoor_45_14_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_45_14_snapdragon,BEST_RIDGE,1247,2.354346371,1.087761216,2.009730399,2.172572627,2.315341642,0.1013559722,1.473832432,2.021564914,2.045966894,1.963923962,2.009730399,2.292229425,2.675982197,2.574957501,2.300677442,2.172572627,2.372870485,2.739970954,2.642436604,2.370628919,2.257839233,2.48535733,2.828377543,2.694288374,2.413375554,2.315341642,UZH_FPV_LORO_07_indoor_45_14_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,B0_PERSISTENCE,1672,2.193506128,0.7288247866,2.218223952,2.607084367,2.443049425,,0.7630691393,1.328314163,1.740091137,2.037149804,2.218223952,2.239129401,2.120505932,2.064076407,2.329170637,2.607084367,2.495318454,2.162710724,2.144525971,2.466809713,2.627136627,2.450140149,2.199718013,2.188887766,2.387489651,2.443049425,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,Stage-2 frozen baseline; not refit,B0_PERSISTENCE,NA_STAGE2
WITHIN_UZH,UZH_FPV,outdoor_forward_1_snapdragon,BEST_RIDGE,1672,1.544402622,0.6246689345,1.819667168,1.92476079,1.934971649,0.2959205347,0.9370086341,0.8796856654,1.176757309,1.609622476,1.819667168,1.637483962,1.276706365,1.294947252,1.705372503,1.92476079,1.691738461,1.275296584,1.31780349,1.740215853,1.933174125,1.690618251,1.301445192,1.347738333,1.749503385,1.934971649,UZH_FPV_LORO_08_outdoor_forward_1_snapdragon,Stage-2 frozen baseline; not refit,B3_RIDGE_QF_QW,NA_STAGE2
WITHIN_UZH,UZH_FPV,indoor_forward_6_snapdragon,TCN,1349,3.477165841,1.515820161,2.91772918,3.456494207,3.673531167,0.1467078075,1.459305742,2.302491785,2.863756065,3.151187389,2.91772918,2.861940435,3.378849747,3.818416588,3.88822607,3.456494207,3.396586706,3.741218799,4.154610009,3.975717913,3.658625396,3.527730451,3.839250424,4.07493275,4.108039242,3.673531167,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_9_snapdragon,TCN,1493,0.7687438455,0.5501589512,0.7115812128,0.7390051074,0.8710593612,-0.009597255596,0.4928224228,0.6524322499,0.6767311624,0.6539956788,0.7115812128,0.7323567294,0.7181824994,0.7588674991,0.7086485807,0.7390051074,0.7742427158,0.7985939136,0.8138879621,0.8399463321,0.8768262904,0.862764269,0.8624726609,0.8451273009,0.8483296339,0.8710593612,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_forward_10_snapdragon,TCN,1482,0.8579718632,0.5471732449,0.838692946,0.8792384788,1.020719318,0.09598592235,0.5085971911,0.6466687815,0.7258047905,0.817892312,0.838692946,0.7756825083,0.7470545184,0.8121333278,0.8446938354,0.8792384788,0.8329841294,0.8309610596,0.8785559112,0.9747817875,0.9784533508,0.9247757228,0.9386086356,0.9747702513,1.01903459,1.020719318,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_2_snapdragon,TCN,1450,2.03209925,0.6793066378,1.912964084,2.212188933,2.256746652,0.2102360272,0.880230183,1.237406875,1.260210742,1.532321938,1.912964084,2.187610311,2.149306724,1.937964861,1.9512712,2.212188933,2.495543133,2.367736147,2.054204916,2.020030235,2.306158815,2.535375019,2.42157704,2.009649296,1.973200519,2.256746652,,nested LORO; mean over seeds,NESTED,YES
WITHIN_UZH,UZH_FPV,indoor_45_4_snapdragon,TCN,1281,2.431533353,0.6811467856,2.361077524,2.69971078,2.681970342,0.2306027407,0.979040253,1.455155048,1.506807594,1.783214204,2.361077524,2.7369766,2.619022958,2.426077446,2.387697887,2.69971078,2.90151437,2.710838068,2.473507436,2.461289863,2.697956998,2.848732876,2.746797759,2.52914985,2.529565199,2.681970342,,nested LORO; mean over seeds,NESTED,YES
