evaluation_context,model,horizon_index,horizon_ms,equal_sequence_mean_rmse
WITHIN_UZH,B0_PERSISTENCE,7,70,2.332955847
WITHIN_UZH,B0_PERSISTENCE,8,80,2.370508687
WITHIN_UZH,B0_PERSISTENCE,9,90,2.433965873
WITHIN_UZH,B0_PERSISTENCE,10,100,2.513596043
WITHIN_UZH,B0_PERSISTENCE,11,110,2.56613227
WITHIN_UZH,B0_PERSISTENCE,12,120,2.57301019
WITHIN_UZH,B0_PERSISTENCE,13,130,2.565567194
WITHIN_UZH,B0_PERSISTENCE,14,140,2.615798424
WITHIN_UZH,B0_PERSISTENCE,15,150,2.683051602
WITHIN_UZH,B0_PERSISTENCE,16,160,2.714776004
WITHIN_UZH,B0_PERSISTENCE,17,170,2.700634049
WITHIN_UZH,B0_PERSISTENCE,18,180,2.65473854
WITHIN_UZH,B0_PERSISTENCE,19,190,2.643728484
WITHIN_UZH,B0_PERSISTENCE,20,200,2.654521275
WITHIN_UZH,BEST_RIDGE,1,10,0.7869797082
WITHIN_UZH,BEST_RIDGE,2,20,1.231929869
WITHIN_UZH,BEST_RIDGE,3,30,1.505810592
WITHIN_UZH,BEST_RIDGE,4,40,1.666697856
WITHIN_UZH,BEST_RIDGE,5,50,1.833155396
WITHIN_UZH,BEST_RIDGE,6,60,1.971337726
WITHIN_UZH,BEST_RIDGE,7,70,1.996325981
WITHIN_UZH,BEST_RIDGE,8,80,1.973543788
WITHIN_UZH,BEST_RIDGE,9,90,2.021927493
WITHIN_UZH,BEST_RIDGE,10,100,2.094722431
WITHIN_UZH,BEST_RIDGE,11,110,2.111470537
WITHIN_UZH,BEST_RIDGE,12,120,2.070050713
WITHIN_UZH,BEST_RIDGE,13,130,2.034025758
WITHIN_UZH,BEST_RIDGE,14,140,2.056087786
WITHIN_UZH,BEST_RIDGE,15,150,2.111875629
WITHIN_UZH,BEST_RIDGE,16,160,2.129252449
WITHIN_UZH,BEST_RIDGE,17,170,2.10433959
WITHIN_UZH,BEST_RIDGE,18,180,2.082400946
WITHIN_UZH,BEST_RIDGE,19,190,2.094869103
WITHIN_UZH,BEST_RIDGE,20,200,2.148913811
WITHIN_UZH,TCN,1,10,0.9215356792
WITHIN_UZH,TCN,2,20,1.304550607
WITHIN_UZH,TCN,3,30,1.497160399
WITHIN_UZH,TCN,4,40,1.655046275
WITHIN_UZH,TCN,5,50,1.823386942
WITHIN_UZH,TCN,6,60,1.932770294
WITHIN_UZH,TCN,7,70,1.961486013
WITHIN_UZH,TCN,8,80,1.937485496
WITHIN_UZH,TCN,9,90,1.949373827
WITHIN_UZH,TCN,10,100,2.026899076
WITHIN_UZH,TCN,11,110,2.085039667
WITHIN_UZH,TCN,12,120,2.035838256
WITHIN_UZH,TCN,13,130,2.018633869
WITHIN_UZH,TCN,14,140,2.035507863
WITHIN_UZH,TCN,15,150,2.108618145
WITHIN_UZH,TCN,16,160,2.136639112
WITHIN_UZH,TCN,17,170,2.103327758
WITHIN_UZH,TCN,18,180,2.030813123
WITHIN_UZH,TCN,19,190,2.052677605
WITHIN_UZH,TCN,20,200,2.110540078
WITHIN_UZH,GRU,1,10,1.518204133
WITHIN_UZH,GRU,2,20,1.605368336
WITHIN_UZH,GRU,3,30,1.636647885
WITHIN_UZH,GRU,4,40,1.720276052
WITHIN_UZH,GRU,5,50,1.837600112
WITHIN_UZH,GRU,6,60,1.933514901
WITHIN_UZH,GRU,7,70,1.935169044
WITHIN_UZH,GRU,8,80,1.898679458
WITHIN_UZH,GRU,9,90,1.931232971
WITHIN_UZH,GRU,10,100,2.01092763
WITHIN_UZH,GRU,11,110,2.057206262
WITHIN_UZH,GRU,12,120,2.032349992
WITHIN_UZH,GRU,13,130,1.984550155
WITHIN_UZH,GRU,14,140,2.002073064
WITHIN_UZH,GRU,15,150,2.0769932
WITHIN_UZH,GRU,16,160,2.120937266
WITHIN_UZH,GRU,17,170,2.092841438
WITHIN_UZH,GRU,18,180,2.034791099
WITHIN_UZH,GRU,19,190,2.049164108
WITHIN_UZH,GRU,20,200,2.124683709
WITHIN_UZH,TRANSFORMER,1,10,0.8793729151
WITHIN_UZH,TRANSFORMER,2,20,1.276109882
WITHIN_UZH,TRANSFORMER,3,30,1.481887947
WITHIN_UZH,TRANSFORMER,4,40,1.607616832
WITHIN_UZH,TRANSFORMER,5,50,1.784377304
WITHIN_UZH,TRANSFORMER,6,60,1.913738619
WITHIN_UZH,TRANSFORMER,7,70,1.953128855
WITHIN_UZH,TRANSFORMER,8,80,1.905133869
WITHIN_UZH,TRANSFORMER,9,90,1.936370658
WITHIN_UZH,TRANSFORMER,10,100,2.015393343
WITHIN_UZH,TRANSFORMER,11,110,2.052222238
WITHIN_UZH,TRANSFORMER,12,120,2.034350132
WITHIN_UZH,TRANSFORMER,13,130,1.971939948
WITHIN_UZH,TRANSFORMER,14,140,1.982397893
WITHIN_UZH,TRANSFORMER,15,150,2.054659343
WITHIN_UZH,TRANSFORMER,16,160,2.1125312
WITHIN_UZH,TRANSFORMER,17,170,2.086497941
WITHIN_UZH,TRANSFORMER,18,180,2.025371912
WITHIN_UZH,TRANSFORMER,19,190,2.04459217
WITHIN_UZH,TRANSFORMER,20,200,2.108006366
EUROC_TO_UZH,B0_PERSISTENCE,1,10,0.752581503
EUROC_TO_UZH,B0_PERSISTENCE,2,20,1.265163695
EUROC_TO_UZH,B0_PERSISTENCE,3,30,1.529500584
EUROC_TO_UZH,B0_PERSISTENCE,4,40,1.770062019
EUROC_TO_UZH,B0_PERSISTENCE,5,50,2.038285281
EUROC_TO_UZH,B0_PERSISTENCE,6,60,2.235356801
EUROC_TO_UZH,B0_PERSISTENCE,7,70,2.332955847
EUROC_TO_UZH,B0_PERSISTENCE,8,80,2.370508687
EUROC_TO_UZH,B0_PERSISTENCE,9,90,2.433965873
EUROC_TO_UZH,B0_PERSISTENCE,10,100,2.513596043
EUROC_TO_UZH,B0_PERSISTENCE,11,110,2.56613227
EUROC_TO_UZH,B0_PERSISTENCE,12,120,2.57301019
EUROC_TO_UZH,B0_PERSISTENCE,13,130,2.565567194
EUROC_TO_UZH,B0_PERSISTENCE,14,140,2.615798424
EUROC_TO_UZH,B0_PERSISTENCE,15,150,2.683051602
EUROC_TO_UZH,B0_PERSISTENCE,16,160,2.714776004
EUROC_TO_UZH,B0_PERSISTENCE,17,170,2.700634049
EUROC_TO_UZH,B0_PERSISTENCE,18,180,2.65473854
EUROC_TO_UZH,B0_PERSISTENCE,19,190,2.643728484
EUROC_TO_UZH,B0_PERSISTENCE,20,200,2.654521275
EUROC_TO_UZH,BEST_RIDGE,1,10,0.3396915271
EUROC_TO_UZH,BEST_RIDGE,2,20,1.073607985
EUROC_TO_UZH,BEST_RIDGE,3,30,1.586995488
EUROC_TO_UZH,BEST_RIDGE,4,40,1.717408454
EUROC_TO_UZH,BEST_RIDGE,5,50,1.844444743
EUROC_TO_UZH,BEST_RIDGE,6,60,2.011681085
EUROC_TO_UZH,BEST_RIDGE,7,70,2.07867095
EUROC_TO_UZH,BEST_RIDGE,8,80,2.071828481
EUROC_TO_UZH,BEST_RIDGE,9,90,2.118388778
EUROC_TO_UZH,BEST_RIDGE,10,100,2.205469264
EUROC_TO_UZH,BEST_RIDGE,11,110,2.25014785
EUROC_TO_UZH,BEST_RIDGE,12,120,2.23127136
EUROC_TO_UZH,BEST_RIDGE,13,130,2.206577501
EUROC_TO_UZH,BEST_RIDGE,14,140,2.2379242
EUROC_TO_UZH,BEST_RIDGE,15,150,2.313400938
