native_fs_hz,frequency_hz,magnitude_db,phase_rad
200,82.47070312,-61.02314587,-1.435868286
200,82.51953125,-61.03796179,-1.436269562
200,82.56835938,-61.05288746,-1.436670611
200,82.6171875,-61.06792309,-1.437071436
200,82.66601562,-61.08306889,-1.437472038
200,82.71484375,-61.09832507,-1.437872416
200,82.76367187,-61.11369187,-1.438272571
200,82.8125,-61.1291695,-1.438672506
200,82.86132812,-61.14475821,-1.439072219
200,82.91015625,-61.16045821,-1.439471713
200,82.95898438,-61.17626977,-1.439870988
200,83.0078125,-61.19219311,-1.440270045
200,83.05664062,-61.20822849,-1.440668884
200,83.10546875,-61.22437617,-1.441067506
200,83.15429687,-61.2406364,-1.441465913
200,83.203125,-61.25700944,-1.441864104
200,83.25195312,-61.27349557,-1.442262082
200,83.30078125,-61.29009506,-1.442659846
200,83.34960938,-61.30680818,-1.443057397
200,83.3984375,-61.32363522,-1.443454736
200,83.44726562,-61.34057647,-1.443851865
200,83.49609375,-61.35763221,-1.444248783
200,83.54492187,-61.37480275,-1.444645491
200,83.59375,-61.39208839,-1.445041991
200,83.64257812,-61.40948944,-1.445438283
200,83.69140625,-61.42700621,-1.445834367
200,83.74023438,-61.44463901,-1.446230246
200,83.7890625,-61.46238817,-1.446625919
200,83.83789062,-61.48025402,-1.447021386
200,83.88671875,-61.49823689,-1.44741665
200,83.93554688,-61.51633712,-1.447811711
200,83.984375,-61.53455506,-1.448206569
200,84.03320312,-61.55289105,-1.448601225
200,84.08203125,-61.57134545,-1.448995681
200,84.13085938,-61.58991862,-1.449389936
200,84.1796875,-61.60861092,-1.449783991
200,84.22851562,-61.62742273,-1.450177848
200,84.27734375,-61.64635442,-1.450571507
200,84.32617188,-61.66540638,-1.450964969
200,84.375,-61.684579,-1.451358235
200,84.42382812,-61.70387266,-1.451751305
200,84.47265625,-61.72328778,-1.45214418
200,84.52148438,-61.74282475,-1.452536861
200,84.5703125,-61.76248399,-1.452929348
200,84.61914062,-61.78226592,-1.453321643
200,84.66796875,-61.80217095,-1.453713746
200,84.71679688,-61.82219953,-1.454105658
200,84.765625,-61.84235209,-1.45449738
200,84.81445312,-61.86262906,-1.454888911
200,84.86328125,-61.88303091,-1.455280254
200,84.91210937,-61.90355808,-1.455671409
200,84.9609375,-61.92421104,-1.456062377
200,85.00976562,-61.94499026,-1.456453157
200,85.05859375,-61.9658962,-1.456843752
200,85.10742188,-61.98692936,-1.457234162
200,85.15625,-62.00809023,-1.457624387
200,85.20507812,-62.02937929,-1.458014428
200,85.25390625,-62.05079704,-1.458404287
200,85.30273437,-62.07234401,-1.458793963
200,85.3515625,-62.09402071,-1.459183458
200,85.40039062,-62.11582765,-1.459572771
200,85.44921875,-62.13776537,-1.459961905
200,85.49804688,-62.15983441,-1.46035086
200,85.546875,-62.18203531,-1.460739635
200,85.59570312,-62.20436863,-1.461128233
200,85.64453125,-62.22683492,-1.461516654
200,85.69335937,-62.24943476,-1.461904898
200,85.7421875,-62.27216871,-1.462292966
200,85.79101562,-62.29503737,-1.46268086
200,85.83984375,-62.31804133,-1.463068579
200,85.88867188,-62.34118117,-1.463456124
200,85.9375,-62.36445752,-1.463843497
200,85.98632812,-62.38787098,-1.464230698
200,86.03515625,-62.41142219,-1.464617727
200,86.08398438,-62.43511176,-1.465004585
200,86.1328125,-62.45894035,-1.465391273
200,86.18164062,-62.4829086,-1.465777792
200,86.23046875,-62.50701718,-1.466164142
200,86.27929688,-62.53126673,-1.466550324
200,86.328125,-62.55565796,-1.466936339
200,86.37695312,-62.58019153,-1.467322188
200,86.42578125,-62.60486814,-1.467707871
200,86.47460938,-62.6296885,-1.468093388
200,86.5234375,-62.65465331,-1.468478742
200,86.57226562,-62.67976331,-1.468863931
200,86.62109375,-62.70501921,-1.469248957
200,86.66992187,-62.73042177,-1.469633822
200,86.71875,-62.75597174,-1.470018524
200,86.76757812,-62.78166987,-1.470403065
200,86.81640625,-62.80751693,-1.470787447
200,86.86523438,-62.83351372,-1.471171668
200,86.9140625,-62.85966102,-1.471555731
200,86.96289062,-62.88595963,-1.471939636
200,87.01171875,-62.91241037,-1.472323383
200,87.06054687,-62.93901406,-1.472706973
200,87.109375,-62.96577154,-1.473090407
200,87.15820312,-62.99268365,-1.473473686
200,87.20703125,-63.01975125,-1.47385681
200,87.25585938,-63.04697522,-1.47423978
200,87.3046875,-63.07435643,-1.474622596
200,87.35351562,-63.10189578,-1.47500526
200,87.40234375,-63.12959417,-1.475387772
200,87.45117187,-63.15745251,-1.475770132
200,87.5,-63.18547175,-1.476152342
200,87.54882812,-63.21365281,-1.476534401
200,87.59765625,-63.24199666,-1.476916311
200,87.64648438,-63.27050426,-1.477298073
200,87.6953125,-63.29917659,-1.477679686
200,87.74414062,-63.32801465,-1.478061153
200,87.79296875,-63.35701944,-1.478442472
200,87.84179687,-63.38619199,-1.478823646
200,87.890625,-63.41553333,-1.479204674
200,87.93945312,-63.4450445,-1.479585557
200,87.98828125,-63.47472658,-1.479966297
200,88.03710938,-63.50458064,-1.480346893
200,88.0859375,-63.53460778,-1.480727346
200,88.13476562,-63.56480909,-1.481107657
200,88.18359375,-63.59518571,-1.481487828
200,88.23242188,-63.62573878,-1.481867857
200,88.28125,-63.65646944,-1.482247746
200,88.33007812,-63.68737887,-1.482627496
200,88.37890625,-63.71846825,-1.483007107
200,88.42773438,-63.74973879,-1.48338658
200,88.4765625,-63.7811917,-1.483765916
200,88.52539062,-63.81282823,-1.484145115
200,88.57421875,-63.84464963,-1.484524178
200,88.62304688,-63.87665717,-1.484903105
200,88.671875,-63.90885213,-1.485281897
200,88.72070312,-63.94123583,-1.485660556
200,88.76953125,-63.97380959,-1.48603908
200,88.81835937,-64.00657476,-1.486417472
200,88.8671875,-64.03953271,-1.486795732
200,88.91601562,-64.0726848,-1.48717386
200,88.96484375,-64.10603246,-1.487551857
200,89.01367188,-64.1395771,-1.487929724
200,89.0625,-64.17332016,-1.488307462
200,89.11132812,-64.20726312,-1.48868507
200,89.16015625,-64.24140745,-1.48906255
200,89.20898437,-64.27575467,-1.489439902
200,89.2578125,-64.3103063,-1.489817127
200,89.30664062,-64.34506389,-1.490194225
200,89.35546875,-64.38002902,-1.490571198
200,89.40429688,-64.41520329,-1.490948046
200,89.453125,-64.45058832,-1.491324769
200,89.50195312,-64.48618576,-1.491701368
200,89.55078125,-64.52199726,-1.492077844
200,89.59960937,-64.55802454,-1.492454197
200,89.6484375,-64.59426929,-1.492830429
200,89.69726562,-64.63073329,-1.493206538
200,89.74609375,-64.66741828,-1.493582528
200,89.79492188,-64.70432608,-1.493958397
200,89.84375,-64.7414585,-1.494334146
200,89.89257812,-64.77881741,-1.494709777
200,89.94140625,-64.81640467,-1.495085289
200,89.99023437,-64.85422222,-1.495460684
200,90.0390625,-64.89227197,-1.495835962
200,90.08789062,-64.93055591,-1.496211123
200,90.13671875,-64.96907602,-1.496586169
200,90.18554688,-65.00783436,-1.4969611
200,90.234375,-65.04683297,-1.497335916
200,90.28320312,-65.08607395,-1.497710618
200,90.33203125,-65.12555944,-1.498085207
200,90.38085938,-65.16529159,-1.498459684
200,90.4296875,-65.2052726,-1.498834048
200,90.47851562,-65.2455047,-1.499208301
200,90.52734375,-65.28599016,-1.499582443
200,90.57617188,-65.32673128,-1.499956475
200,90.625,-65.36773041,-1.500330398
200,90.67382812,-65.40898991,-1.500704211
200,90.72265625,-65.45051222,-1.501077917
200,90.77148438,-65.49229979,-1.501451514
200,90.8203125,-65.5343551,-1.501825005
200,90.86914062,-65.57668072,-1.502198388
200,90.91796875,-65.6192792,-1.502571667
200,90.96679687,-65.66215319,-1.502944839
200,91.015625,-65.70530534,-1.503317908
200,91.06445312,-65.74873837,-1.503690872
200,91.11328125,-65.79245504,-1.504063733
200,91.16210938,-65.83645815,-1.50443649
200,91.2109375,-65.88075055,-1.504809146
200,91.25976562,-65.92533516,-1.5051817
200,91.30859375,-65.97021491,-1.505554153
200,91.35742187,-66.01539282,-1.505926506
200,91.40625,-66.06087195,-1.506298759
200,91.45507812,-66.10665539,-1.506670913
200,91.50390625,-66.15274631,-1.507042968
200,91.55273438,-66.19914794,-1.507414925
200,91.6015625,-66.24586355,-1.507786784
200,91.65039062,-66.29289647,-1.508158547
200,91.69921875,-66.34025011,-1.508530214
200,91.74804687,-66.38792791,-1.508901785
200,91.796875,-66.43593341,-1.509273261
200,91.84570312,-66.48427017,-1.509644643
200,91.89453125,-66.53294186,-1.510015931
200,91.94335938,-66.58195219,-1.510387126
200,91.9921875,-66.63130494,-1.510758228
200,92.04101562,-66.68100398,-1.511129238
200,92.08984375,-66.73105322,-1.511500157
200,92.13867187,-66.78145669,-1.511870985
200,92.1875,-66.83221844,-1.512241722
200,92.23632812,-66.88334265,-1.51261237
200,92.28515625,-66.93483355,-1.512982929
200,92.33398438,-66.98669546,-1.5133534
200,92.3828125,-67.03893277,-1.513723782
200,92.43164062,-67.09154999,-1.514094078
200,92.48046875,-67.14455169,-1.514464287
200,92.52929688,-67.19794253,-1.514834409
200,92.578125,-67.25172728,-1.515204446
200,92.62695312,-67.30591079,-1.515574398
200,92.67578125,-67.36049802,-1.515944266
200,92.72460938,-67.41549403,-1.51631405
200,92.7734375,-67.47090397,-1.516683751
200,92.82226562,-67.52673311,-1.51705337
200,92.87109375,-67.58298682,-1.517422906
200,92.91992188,-67.63967058,-1.517792361
200,92.96875,-67.69679001,-1.518161735
200,93.01757812,-67.75435081,-1.518531029
200,93.06640625,-67.81235882,-1.518900244
200,93.11523437,-67.87082002,-1.519269379
200,93.1640625,-67.92974049,-1.519638436
200,93.21289062,-67.98912647,-1.520007414
200,93.26171875,-68.04898431,-1.520376316
200,93.31054688,-68.10932052,-1.520745141
200,93.359375,-68.17014174,-1.521113889
200,93.40820312,-68.23145476,-1.521482562
200,93.45703125,-68.29326655,-1.52185116
200,93.50585937,-68.35558418,-1.522219684
200,93.5546875,-68.41841495,-1.522588133
200,93.60351562,-68.48176627,-1.52295651
200,93.65234375,-68.54564575,-1.523324814
200,93.70117188,-68.61006118,-1.523693045
200,93.75,-68.67502053,-1.524061205
200,93.79882812,-68.74053193,-1.524429294
200,93.84765625,-68.80660375,-1.524797313
200,93.89648437,-68.87324453,-1.525165262
200,93.9453125,-68.94046303,-1.525533141
200,93.99414062,-69.00826822,-1.525900952
200,94.04296875,-69.07666929,-1.526268695
200,94.09179688,-69.14567566,-1.52663637
200,94.140625,-69.21529698,-1.527003979
200,94.18945312,-69.28554315,-1.527371521
200,94.23828125,-69.35642432,-1.527738997
200,94.28710938,-69.4279509,-1.528106408
200,94.3359375,-69.50013357,-1.528473754
